Unlabeled Text,ID,Section,Beni,Me,Vaibhav,Sodiq,Michael,User 6,User 7 ,User 8,Mode,Agreement,,,Fleiss's Kappa ,
"Help us, comrades, as we will be able to help you too",3IXEICO792J5KENG9HKF5IGP4KST6A,7,3,,2,,3,,,,3,-0.3333333333,3,,,
"I don't have enough men to complete this mission by myself, so I just need you to let your men help me so I can provide aid for these refugees.",3J88R45B2GYKB1E5TNKL0LSCCLIPX7,7,3,,1,,2,,,,#N/A,-0.1666666667,3,,,
"I need your help because I do not have enough men to complete this mission. If you were to help me, I would be able to easily complete this mission and provide for the refugees that you are serving",3JWH6J9I9SDDVDZR8CFB7ZWPT3RBNM,7,3,,1,,2,,,,#N/A,-0.1666666667,3,,,
"Captain, we do not need your supplies right now. We are understaffed and need the assistance of your men to help take care of the refugees to complete this mission.",3NAPMVF0ZWFU4F789C5BA97VZI372Z,7,3,,3,,1,,,,3,-0.3333333333,3,,,
"Even though all the supplies are not here yet, please help us distribute what we have to benefit our mutual cause.",3OLF68YTN91WOBHI4AW24J3A9UGFAK,7,2,,1,,2,,,,2,0.3333333333,3,,,
We are stronger working together and need your help to perform this mission and help serve these refugees.,3OS4RQUCR9F17LMAAOWYZUNGRC3BFD,7,1,,1,,1,,,,1,1,3,,,
We need more troops to complete this mission successfully,3P529IW9KYLDKU8M11LSDXJL369LF2,7,3,,3,,2,,,,3,-0.3333333333,3,,,
"I really need your assistance here and I know you are in a tight spot as well, but I need you and your team's assistance providing for these refugees and we need to make them both of our priorities right now above everything else that is happening even delayed planes carrying equipment.",3P529IW9KYLDKU8M11LSDXJL36BFLY,7,3,,1,,1,,,,1,0.1666666667,3,,,
"Sir the planes that are carrying the supplies that we need for our mission are on a slight delay, We can really use your help on the mission cause we are short some men. Can you hang back just a bit or lend us some extra men so we can continue to provide for the people we are serving safely!",3PB5A5BD0V6KJ9FF8RQ0CD1W9157GF,7,2,,1,,1,,,,1,0.3333333333,3,,,
"sir, we have enough supplies to help the refugees but not enough manpower. we need your soldiers to assist to be able to fulfill the mission.",3PDJHANYK5GFF5WL9N3QRZD1TQXH6O,7,3,,1,,2,,,,#N/A,-0.1666666667,3,,,
There aren't enough men so you should help us.,3QECW5O0KH191AN24YAADC2P8PFT5S,7,3,,3,,2,,,,3,-0.3333333333,3,,,
The mission we are about to embark on is of vital importance to the refugees. If your team does not follow through we will not be able to carry out the mission and we will fail not only the refugees but ourselves.,3QEMNNSB2XZH7P5O61PS6SYZW90D7M,7,2,,3,,1,,,,#N/A,-0.1666666667,3,,,
The supplies are delayed but I still need your help right now to complete my mission; these refugees needs us right now.,3QY7M81QH7MPLVBYYIBFA5TPGIU7KQ,7,3,,2,,2,,,,2,0.1666666667,3,,,
"Capt., Sir. With your permission we would like to you lead this mission and we can help the helpless people.",3R0T90IZ1SCQVQABZ8YBSZTAAC0CGH,7,2,,2,,2,,,,2,1,3,,,
"We can provide supplies for your team, but it is crucial for the mission that they continue as planned.",3R6P78PK7KB7H7CMLUT1H9TEYYZTGG,7,2,,3,,2,,,,2,0.1666666667,3,,,
"I understand situation with the planes. However, for the time being I would like you to help with supplies.",3S4AW7T80BI3MEBXHKP9MTMUEG54L2,7,3,,3,,2,,,,3,-0.3333333333,3,,,
I would honestly relay the challenges that would ensue attempting to complete the mission without the chinese team assistance.,3SKEMFQBZ35TL9GH8N3LO5PKR20K8Q,7,e,,3,,2,,,,#N/A,-0.3333333333,3,,,
"Sir, if I may. We need your men so we can provide for the refugees, we can fulfill the mission if we work together.",3SNLUL3WO4N23C5CWQGRZXKODTXLUA,7,1,,1,,2,,,,1,0.3333333333,3,,,
"I cannot do this on my own, I really need you to help me on this.",3TUI152ZZBNXLCURM7E35HELC2AQ1S,7,3,,2,,1,,,,#N/A,-0.1666666667,3,,,
"Please, you must hold your end of the deal.  I do not have enough troops to carry out the mission but with your help, we will defeat the enemy.",3WYP994K17R110MAJN7EDZ84JM7Y61,7,3,,e,,2,,,,#N/A,-0.3333333333,3,,,
"Thank you for all of your help; our team is happy to provide any equipment that we can and help out with your situation. However, we desperately need your help to carry out this mission regardless of what happens. You can trust that you're team will be justly compensated in the future for all of your help.",3X3OR7WPZZ045FYZTNFM352ZG258LH,7,1,,2,,2,,,,2,0.3333333333,3,,,
i would introduce my self and then descuss inportant buisness,31JLPPHS2UUQA3VQUY0I45YIVL83OR,1,e,e,e,,,,,,#N/A,-0.5,3,,,
Good morning,31UV0MXWNQCJSW7RAMB6Z50GX82I53,1,3,3,3,,,,,,3,-0.5,3,,,
Mornin Capt,33C7UALJVLYRF8UV0DX3JQTLIWS18W,1,3,3,3,,,,,,3,-0.5,3,,,
"Good morning, Capt. Wang. I am here to discuss with you and the platoon about important business.",33PPO7FECVFEW9MKPSTPXHO8AP3IDE,1,3,3,1,,,,,,3,-0.3333333333,3,,,
"Hello, Captain Wang. It is nice to see you this morning.",33SA9F9TRXU1PAKPA48O4QF1PCVEW3,1,1,1,1,,,,,,1,1,3,,,
"Good Morning, Captain Wang It is an honor to meet you. I would like to discuss some important decisions that need to be made.",34BBWHLWHABD5FMB6NYFP5DTH52IWG,1,1,1,1,,,,,,1,1,3,,,
"""Good morning, Sir, I look forward to giving you any assistance you need today.""",34V1S5K3GS1M0ZE2BBFYEIFDADN69L,1,1,1,1,,,,,,1,1,3,,,
"Captain Wang , good morning",34V1S5K3GS1M0ZE2BBFYEIFDADS96T,1,3,3,3,,,,,,3,-0.5,3,,,
"Good Morning Captain Wang, my rank may be lower than you expected, but I speak for those with much higher rank.",34Z02EIMISDA63117S4YWH6YRH9T0C,1,?,3,2,,,,,,#N/A,-0.3333333333,3,,,
"Good morning, Captain Wang. How are you doing on this beautiful day?",35GCEFQ6I5O2979XW7BZK35MFPA3ZS,1,2,2,2,,,,,,2,1,3,,,
I am pleased to meet you.,36W0OB37HWEH3FGWBS01OX6WYUYZH1,1,3,3,3,,,,,,3,-0.5,3,,,
"Good morning, Captain Wang.",3VHP9MDGRNKKHQEGOOSTAETY9XSFCD,1,3,3,3,,,,,,3,-0.5,3,,,
"Good Morning Captain Wang, it's always a pleasure to see you and I am delighted we will be working together.",3AMYWKA6YBMP7MI8D0YGB8A25CDO6L,1,1,1,1,,,,,,1,1,3,,,
"Good morning, Captain Wang",3OS4RQUCR9F17LMAAOWYZUNGRCZFBD,1,3,3,3,,,,,,3,-0.5,3,,,
Good morning Captain Wang.  You may have noticed my ranking and I am fairly young.  But I can assure you that I am here to discuss important business for you and I with all of my ability to help.,3BF51CHDTVAK1UA67YN9IY3AGN80H3,1,?,3,2,,,,,,#N/A,-0.3333333333,3,,,
"Hello Captain Wang, it is nice to meet you.",3C44YUNSI1P6DV9O2NJ96EPKW3UDPH,1,1,1,1,,,,,,1,1,3,,,
Good morning Captain Wang,3KV0LJBBH2LUT2VGS8M1UZCT6ZEMR4,1,3,3,3,,,,,,3,-0.5,3,,,
"Good morning, Captain.",3DYGAII7PL8024DT79PT6DWJFIGPQV,1,3,3,3,,,,,,3,-0.5,3,,,
"Good morning, captain. I look forward to working with you, sir.",3DYGAII7PL8024DT79PT6DWJFINPQ2,1,1,1,1,,,,,,1,1,3,,,
"What an honor it is to meet you this morning, Captain Wang!",3E7TUJ2EGCMLL8THLYNCKOP5RZE9DK,1,1,1,1,,,,,,1,1,3,,,
Good morning Captain Wang sir. My name is Jerry Lockley and I am honored to make your acquantaince.,3EWIJTFFVO78HKJ4HXF3XV6XO7HE02,1,1,1,e,,,,,,1,0.1666666667,3,,,
Good Morning Captain Wang,3FTF2T8WLRIKUET82TS2CCEQYFN9WW,1,3,3,3,,,,,,3,-0.5,3,,,
"Good Morning,  It is a pleasue to meet you Captain Wang. I look forward to working with you.",3FFJ6VRIL1OKXPLQDG5UIA4PG0RI0I,1,1,1,1,,,,,,1,1,3,,,
"Good morning Captain Wang, I noticed that you're looking slightly dissatisfied with my ranking as a soldier but I can assure you Im perfect for the task at hand.",3FIUS151DV23C2QG1UUUIQEP84RGGU,1,?,3,2,,,,,,#N/A,-0.3333333333,3,,,
Good Morning Captain Wang,3FTF2T8WLRIKUET82TS2CCEQYFN9WW,1,3,3,3,,,,,,3,-0.5,3,,,
"Good morning, Captain!",3GGAI1SQEVYQN06XABW654D76Y4CMH,1,3,3,3,,,,,,3,-0.5,3,,,
"Good morning Captain Wang, its a pleasure to meet with you today.",3GNCZX450IN8FO6CIDS7GDHEB0YPAS,1,1,1,1,,,,,,1,1,3,,,
Hello Sir! I am (state name and rank here) I hope your morning is going well! Give him a firm hand shake and a smile!,3HUTX6F6VUN1PLZ7QYMDLVTQP79O22,1,e,e,e,,,,,,#N/A,-0.5,3,,,
"Good morning Captain Wang, sir!",3IO1LGZLK9XMMUVS6J9KEMK2Q7B864,1,3,3,3,,,,,,3,-0.5,3,,,
Good morning Captain Wang!,3ITXP059PWJGT9P8409E4HP8O7WJSF,1,3,3,3,,,,,,3,-0.5,3,,,
Good morning Captain Wang. We are so glad you guys could come out and help with this project. I'm Lt. Frank and I have been well brief on this assignment. I can ask any questions you may have.,3K2755HG5S3UMIKUOKN4UKBGUX9DFG,1,e,e,e,,,,,,#N/A,-0.5,3,,,
"Captain Wang, good morning sir. I've been sent as a representative to discuss this important business, we should get to it.",3KOPY89HM82C9S4TEL8DW9HWWRX3J7,1,1,1,1,,,,,,1,1,3,,,
Good morning Captain Wang,3KV0LJBBH2LUT2VGS8M1UZCT6ZEMR4,1,3,3,3,,,,,,3,-0.5,3,,,
"Good morning, Captain Wang. (Chinese mandarin: Wang dui zhang zao shang hao! )",3LPW2N6LKT2O1N2R430KI8ORR3SU5Q,1,e,e,2,,,,,,#N/A,-0.3333333333,3,,,
"Good morning Captain Wang, I'm here to discuss the situation at hand.",3ND9UOO81K2FVGUHRQVSHL5LY9WLWX,1,3,3,1,,,,,,3,-0.3333333333,3,,,
"Good morning, Captain Wang.",3VHP9MDGRNKKHQEGOOSTAETY9XSFCD,1,3,3,3,,,,,,3,-0.5,3,,,
"Good morning Captain, something wrong?",3NL0RFNU0FNS28TFWKD87T9FPGSK47,1,3,3,3,,,,,,3,-0.5,3,,,
"Good morning, Captain Wang",3OS4RQUCR9F17LMAAOWYZUNGRCZFBD,1,3,3,3,,,,,,3,-0.5,3,,,
"Good morning, Captain Wang",3OS4RQUCR9F17LMAAOWYZUNGRCZFBD,1,3,3,3,,,,,,3,-0.5,3,,,
Good Morning Captain Wang.,3Q5ZZ9ZEVOFQ3QVE10ZFMG62UCU58F,1,3,3,3,,,,,,3,-0.5,3,,,
Good morning Captain Wang; Reporting for Duty.,3QL2OFSM96IW5IRXMCB6IJ27BOECNH,1,3,3,3,,,,,,3,-0.5,3,,,
"Good morning Captain Wang, lets get to business.",3QY5DC2MXRKG3KVGAFDT4KF4GX0UF3,1,3,3,3,,,,,,3,-0.5,3,,,
"Hello captain Wang, it's good to see you in this fine morning.",3R6P78PK7KB7H7CMLUT1H9TEYYXGT1,1,2,1,1,,,,,,1,0.3333333333,3,,,
"Commander, Good morning, sir.",3SNVL38CI4SVXC6UPZJQQRL3HT9CKC,1,1,1,3,,,,,,1,0.1666666667,3,,,
Good Morning Captain Wang with do all respect sir let me introduce my self to you.,3TDXMTX3CBUFB075F5LBRBEGT3G6IA,1,1,1,e,,,,,,1,0.1666666667,3,,,
good morning captain wang,3U088ZLJVKT2YK5V2X99J1DXVBNW01,1,3,3,3,,,,,,3,-0.5,3,,,
"Good morning, Captain Wang.",3VHP9MDGRNKKHQEGOOSTAETY9XSFCD,1,3,3,3,,,,,,3,-0.5,3,,,
"Good morning Captain, I am so happy to finally meet you.",3W8CV64QJ2Z2XOYJ7U62B943JR79HT,1,1,1,1,,,,,,1,1,3,,,
Good Morning Mr. Wang!,3WJEQKOXA825YWNAXBHHFHZG8KVA1C,1,3,3,3,,,,,,3,-0.5,3,,,
"Good morning Captain Wang, I look forward to working with you",3WR9XG3T63B47TMVDQOZ3O4TJWW74S,1,1,1,1,,,,,,1,1,3,,,
"Hello commander, I am sorry that my commander could not make to this meeting as he was called upon on some other important business, so in his absence i will be the person-in-charge of the mission.",3137ONMDKG55SOUPVZ46INTDVOAGEB,2,1,1,1,,,,,,1,1,3,,,
Captain Heist will not be able to attend today and has sent me to lead the meeting in his place.,317HQ483I7SNILDXEM7STM02OT8NI4,2,2,2,2,,,,,,2,1,3,,,
"Captain Heist sent me in his absence, he couldn't be here today.",323Q6SJS8IGBYYPWAG6UL5QEMPXFHM,2,3,3,2,,,,,,3,-0.3333333333,3,,,
"Well, it should be your commander tell him you are taking over his place in his absence. Not you telling him. Do not ever think you are equal to the commander. You could only get his help by playing weak and helpless. He might help you because he felt sorry for you.",32SVAV9L3F918Z1PKFV03AED64C3A0,2,e,e,e,,,,,,#N/A,-0.5,3,,,
Captain is unable to be here but I can answer all your questions,33PPUNGG385US9UZ7XCV2182L3SRZM,2,3,3,3,,,,,,3,-0.5,3,,,
The commander is currently indisposed and in his abscense,3483FV8BEEJB0FT3Q20J4V7Z47O260,2,e,e,e,,,,,,#N/A,-0.5,3,,,
"Captain Heist isn't available, but I am fully informed about the issues and wil be leading the meeting in his absence.",34FNN24DCM95IWMWE4X9LTU4NRY5YU,2,2,2,2,,,,,,2,1,3,,,
Reassure him that you were put in charge and given all the information needed to do your job well,35BLDD71I6XMLGBGGHH53YX569DZVV,2,e,e,e,,,,,,#N/A,-0.5,3,,,
Captain Heist has been detained and left me in charge of this meeting.,35USIKEBNRG7P1IWCLY3WJAXF27N64,2,1,1,2,,,,,,1,0.3333333333,3,,,
"I'm sorry, we had an emergency that took precedence. But I have been as well briefed on the situation as he was and will be the point man.",35USIKEBNRG7P1IWCLY3WJAXF286NO,2,1,1,1,,,,,,1,1,3,,,
"Captain Heist was unable to make it today. Thus, he sent me in his place to meet with you.",3634BBTX0OUBUT0GGYOFLHRTM2CFIF,2,3,3,2,,,,,,3,-0.3333333333,3,,,
He wiil be soon,379J5II41OGLEG8Q6Q1MVFYLR5ZELI,2,e,e,3,,,,,,#N/A,-0.5,3,,,
"Commander, Captain Heist will not make it today due to unforeseen circumstances. I will be leading the meeting in his absence. I assure you this will be eventful.",37XITHEISW9HKGJPFJSNR37HCLCRCT,2,1,1,1,,,,,,1,1,3,,,
"Good morning, Capt. Wang. I am (rank and name) of (military division). I am sorry my Commanding Officer Capt. Heist will not be able to join this meeting. Capt. Heist is sent me to this meeting on his behalf. Capt. Heist apologize for not being here, Capt. Wang.",38F5OAUN5NCYJ5AQSX8IXDDXO1LH7R,2,e,e,e,,,,,,#N/A,-0.5,3,,,
"Captain Heist had been detained by a major problem but since this operation is important to him, he asked to be his eyes and ears. I will relate everything you tell me.",39DD6S19JPB5J5PULRSV3U9J6EAEZ4,2,1,1,1,,,,,,1,1,3,,,
Captain Heist is busy and has chosen me to lead in his absence.,39RP059MEHT7DVERWB0BUK7POD5MBL,2,2,2,2,,,,,,2,1,3,,,
Captain Heist was delayed in another meeting.  The captain and I have worked on this project long enough that he feels I can proceed in his absence.,39U1BHVTDLR6NV0YQFMHYF45UTXT3B,2,1,1,1,,,,,,1,1,3,,,
"Sir, it is an honor to meet you. On behalf of Captain Heist, who could not make be here at this time, we look for toward to working with you and your extraordinary team. I am Captain's Heist's secondary in command and will be leading the discussion in his absence. So let's get to the fun stuff, shall we?",3BXQMRHWKZYM9UNXW2H6ZAZDDYLUMJ,2,1,1,1,,,,,,1,1,3,,,
"Our commander has multiple obligations. As such, this is exactly why I am here because i am his most trusted delegate. I have everything we need to operate.",3C44YUNSI1P6DV9O2NJ96EPKW3ZPDY,2,2,2,1,,,,,,2,0.3333333333,3,,,
Captain Heist i know you are bit discouraged first of all because of my rank and secondly because my commander wont be present. captain heist i would like to say that i will be leading in his absence,3CTOC39K37QUAB5GGXB39QTC1TPJ7Y,2,2,2,e,,,,,,2,0.1666666667,3,,,
He was busy with some other matters. I will be talking with you about your problems.,3DUZQ9U6SMOPK4P2LPNX7502JU9SVF,2,3,3,1,,,,,,3,-0.3333333333,3,,,
Our commander can't attend this meeting.this is the situation we has to lead our army better.its my duty too,3F6HPJW4JD09UU89HKDN2P6CS9G2W0,2,e,e,2,,,,,,#N/A,-0.3333333333,3,,,
