,data,labels
102, Captain  How are you doing this fine day? It is nice to see you this morning.,1
103, Commander How are you doing this fine day? It is nice to see you this morning.,1
104, How are you? It is nice to see you this morning.,1
105, Captain Wang How are you? It is nice to see you this morning.,1
106, Captain  How are you? It is nice to see you this morning.,1
107, Commander How are you? It is nice to see you this morning.,1
108, How are you doing today sir? It is nice to see you this morning.,1
109, Captain Wang How are you doing today sir? It is nice to see you this morning.,1
110, Captain  How are you doing today sir? It is nice to see you this morning.,1
111, Commander How are you doing today sir? It is nice to see you this morning.,1
112, I trust you are doing well today? It is nice to see you this morning.,1
113, Captain Wang I trust you are doing well today? It is nice to see you this morning.,1
114, Captain  I trust you are doing well today? It is nice to see you this morning.,1
115, Commander I trust you are doing well today? It is nice to see you this morning.,1
116, How are you and your soldiers faring today? It is nice to see you this morning.,1
117, Captain Wang How are you and your soldiers faring today? It is nice to see you this morning.,1
118, Captain  How are you and your soldiers faring today? It is nice to see you this morning.,1
119, Commander How are you and your soldiers faring today? It is nice to see you this morning.,1
120, How was your trip? It is nice to see you this morning.,1
121, Captain Wang How was your trip? It is nice to see you this morning.,1
122, Captain  How was your trip? It is nice to see you this morning.,1
123, Commander How was your trip? It is nice to see you this morning.,1
124, I hope you are well. It is nice to see you this morning.,1
125, Captain Wang I hope you are well. It is nice to see you this morning.,1
126, Captain  I hope you are well. It is nice to see you this morning.,1
127, Commander I hope you are well. It is nice to see you this morning.,1
128, how are you feeling today? It is nice to see you this morning.,1
129, Captain Wang how are you feeling today? It is nice to see you this morning.,1
130, Captain  how are you feeling today? It is nice to see you this morning.,1
131, Commander how are you feeling today? It is nice to see you this morning.,1
132, How have you been? It is nice to see you this morning.,1
133, Captain Wang How have you been? It is nice to see you this morning.,1
134, Captain  How have you been? It is nice to see you this morning.,1
135, Commander How have you been? It is nice to see you this morning.,1
136, I hope all is well with your company. It is nice to see you this morning.,1
137, Captain Wang I hope all is well with your company. It is nice to see you this morning.,1
138, Captain  I hope all is well with your company. It is nice to see you this morning.,1
139, Commander I hope all is well with your company. It is nice to see you this morning.,1
140, Is everything alright? It is nice to see you this morning.,1
141, Captain Wang Is everything alright? It is nice to see you this morning.,1
142, Captain  Is everything alright? It is nice to see you this morning.,1
143, Commander Is everything alright? It is nice to see you this morning.,1
144, How was your travel to get here? It is nice to see you this morning.,1
145, Captain Wang How was your travel to get here? It is nice to see you this morning.,1
146, Captain  How was your travel to get here? It is nice to see you this morning.,1
147, Commander How was your travel to get here? It is nice to see you this morning.,1
148, Is everything going well for you so far? It is nice to see you this morning.,1
149, Captain Wang Is everything going well for you so far? It is nice to see you this morning.,1
150, Captain  Is everything going well for you so far? It is nice to see you this morning.,1
151, Commander Is everything going well for you so far? It is nice to see you this morning.,1
152, How are you fairing? It is nice to see you this morning.,1
153, Captain Wang How are you fairing? It is nice to see you this morning.,1
154, Captain  How are you fairing? It is nice to see you this morning.,1
155, Commander How are you fairing? It is nice to see you this morning.,1
156, hope you are doing good It is nice to see you this morning.,1
157, Captain Wang hope you are doing good It is nice to see you this morning.,1
158, Captain  hope you are doing good It is nice to see you this morning.,1
159, Commander hope you are doing good It is nice to see you this morning.,1
160," How are you fairing this morning, It is nice to see you this morning.",1
161," Captain Wang How are you fairing this morning, It is nice to see you this morning.",1
162," Captain  How are you fairing this morning, It is nice to see you this morning.",1
163," Commander How are you fairing this morning, It is nice to see you this morning.",1
164," How are you fairing this morning, It is nice to see you this morning.",1
165," Captain Wang How are you fairing this morning, It is nice to see you this morning.",1
166," Captain  How are you fairing this morning, It is nice to see you this morning.",1
167," Commander How are you fairing this morning, It is nice to see you this morning.",1
168, It is an honor to meet you.,11
169, Captain Wang It is an honor to meet you.,11
170, Captain  It is an honor to meet you.,11
171, Commander It is an honor to meet you.,11
172, How are you doing on this beautiful day? It is an honor to meet you.,1
173, Captain Wang How are you doing on this beautiful day? It is an honor to meet you.,1
174, Captain  How are you doing on this beautiful day? It is an honor to meet you.,1
175, Commander How are you doing on this beautiful day? It is an honor to meet you.,1
176, How are you doing this evening? It is an honor to meet you.,1
177, Captain Wang How are you doing this evening? It is an honor to meet you.,1
178, Captain  How are you doing this evening? It is an honor to meet you.,1
179, Commander How are you doing this evening? It is an honor to meet you.,1
180, How are you today? It is an honor to meet you.,1
181, Captain Wang How are you today? It is an honor to meet you.,1
182, Captain  How are you today? It is an honor to meet you.,1
183, Commander How are you today? It is an honor to meet you.,1
184, How are you doing this fine day? It is an honor to meet you.,1
185, Captain Wang How are you doing this fine day? It is an honor to meet you.,1
186, Captain  How are you doing this fine day? It is an honor to meet you.,1
187, Commander How are you doing this fine day? It is an honor to meet you.,1
188, How are you? It is an honor to meet you.,1
189, Captain Wang How are you? It is an honor to meet you.,1
190, Captain  How are you? It is an honor to meet you.,1
191, Commander How are you? It is an honor to meet you.,1
192, How are you doing today sir? It is an honor to meet you.,1
193, Captain Wang How are you doing today sir? It is an honor to meet you.,1
194, Captain  How are you doing today sir? It is an honor to meet you.,1
195, Commander How are you doing today sir? It is an honor to meet you.,1
196, I trust you are doing well today? It is an honor to meet you.,1
197, Captain Wang I trust you are doing well today? It is an honor to meet you.,1
198, Captain  I trust you are doing well today? It is an honor to meet you.,1
199, Commander I trust you are doing well today? It is an honor to meet you.,1
200, How are you and your soldiers faring today? It is an honor to meet you.,1
201, Captain Wang How are you and your soldiers faring today? It is an honor to meet you.,1
202, Captain  How are you and your soldiers faring today? It is an honor to meet you.,1
203, Commander How are you and your soldiers faring today? It is an honor to meet you.,1
204, How was your trip? It is an honor to meet you.,1
205, Captain Wang How was your trip? It is an honor to meet you.,1
206, Captain  How was your trip? It is an honor to meet you.,1
207, Commander How was your trip? It is an honor to meet you.,1
208, I hope you are well. It is an honor to meet you.,1
209, Captain Wang I hope you are well. It is an honor to meet you.,1
210, Captain  I hope you are well. It is an honor to meet you.,1
211, Commander I hope you are well. It is an honor to meet you.,1
212, how are you feeling today? It is an honor to meet you.,1
213, Captain Wang how are you feeling today? It is an honor to meet you.,1
214, Captain  how are you feeling today? It is an honor to meet you.,1
215, Commander how are you feeling today? It is an honor to meet you.,1
216, How have you been? It is an honor to meet you.,1
217, Captain Wang How have you been? It is an honor to meet you.,1
218, Captain  How have you been? It is an honor to meet you.,1
219, Commander How have you been? It is an honor to meet you.,1
220, I hope all is well with your company. It is an honor to meet you.,1
221, Captain Wang I hope all is well with your company. It is an honor to meet you.,1
222, Captain  I hope all is well with your company. It is an honor to meet you.,1
223, Commander I hope all is well with your company. It is an honor to meet you.,1
224, Is everything alright? It is an honor to meet you.,1
225, Captain Wang Is everything alright? It is an honor to meet you.,1
226, Captain  Is everything alright? It is an honor to meet you.,1
227, Commander Is everything alright? It is an honor to meet you.,1
228, How was your travel to get here? It is an honor to meet you.,1
229, Captain Wang How was your travel to get here? It is an honor to meet you.,1
230, Captain  How was your travel to get here? It is an honor to meet you.,1
231, Commander How was your travel to get here? It is an honor to meet you.,1
232, Is everything going well for you so far? It is an honor to meet you.,1
233, Captain Wang Is everything going well for you so far? It is an honor to meet you.,1
234, Captain  Is everything going well for you so far? It is an honor to meet you.,1
235, Commander Is everything going well for you so far? It is an honor to meet you.,1
236, How are you fairing? It is an honor to meet you.,1
237, Captain Wang How are you fairing? It is an honor to meet you.,1
238, Captain  How are you fairing? It is an honor to meet you.,1
239, Commander How are you fairing? It is an honor to meet you.,1
240, hope you are doing good It is an honor to meet you.,1
241, Captain Wang hope you are doing good It is an honor to meet you.,1
242, Captain  hope you are doing good It is an honor to meet you.,1
243, Commander hope you are doing good It is an honor to meet you.,1
244," How are you fairing this morning, It is an honor to meet you.",1
245," Captain Wang How are you fairing this morning, It is an honor to meet you.",1
246," Captain  How are you fairing this morning, It is an honor to meet you.",1
247," Commander How are you fairing this morning, It is an honor to meet you.",1
248," How are you fairing this morning, It is an honor to meet you.",1
249," Captain Wang How are you fairing this morning, It is an honor to meet you.",1
250," Captain  How are you fairing this morning, It is an honor to meet you.",1
251," Commander How are you fairing this morning, It is an honor to meet you.",1
252, I look forward to giving you any assistance you need today.,11
253, Captain Wang I look forward to giving you any assistance you need today.,11
254, Captain  I look forward to giving you any assistance you need today.,11
255, Commander I look forward to giving you any assistance you need today.,11
256, How are you doing on this beautiful day? I look forward to giving you any assistance you need today.,1
257, Captain Wang How are you doing on this beautiful day? I look forward to giving you any assistance you need today.,1
258, Captain  How are you doing on this beautiful day? I look forward to giving you any assistance you need today.,1
259, Commander How are you doing on this beautiful day? I look forward to giving you any assistance you need today.,1
260, How are you doing this evening? I look forward to giving you any assistance you need today.,1
261, Captain Wang How are you doing this evening? I look forward to giving you any assistance you need today.,1
262, Captain  How are you doing this evening? I look forward to giving you any assistance you need today.,1
263, Commander How are you doing this evening? I look forward to giving you any assistance you need today.,1
264, How are you today? I look forward to giving you any assistance you need today.,1
265, Captain Wang How are you today? I look forward to giving you any assistance you need today.,1
266, Captain  How are you today? I look forward to giving you any assistance you need today.,1
267, Commander How are you today? I look forward to giving you any assistance you need today.,1
268, How are you doing this fine day? I look forward to giving you any assistance you need today.,1
269, Captain Wang How are you doing this fine day? I look forward to giving you any assistance you need today.,1
270, Captain  How are you doing this fine day? I look forward to giving you any assistance you need today.,1
271, Commander How are you doing this fine day? I look forward to giving you any assistance you need today.,1
272, How are you? I look forward to giving you any assistance you need today.,1
273, Captain Wang How are you? I look forward to giving you any assistance you need today.,1
274, Captain  How are you? I look forward to giving you any assistance you need today.,1
275, Commander How are you? I look forward to giving you any assistance you need today.,1
276, How are you doing today sir? I look forward to giving you any assistance you need today.,1
277, Captain Wang How are you doing today sir? I look forward to giving you any assistance you need today.,1
278, Captain  How are you doing today sir? I look forward to giving you any assistance you need today.,1
279, Commander How are you doing today sir? I look forward to giving you any assistance you need today.,1
280, I trust you are doing well today? I look forward to giving you any assistance you need today.,1
281, Captain Wang I trust you are doing well today? I look forward to giving you any assistance you need today.,1
282, Captain  I trust you are doing well today? I look forward to giving you any assistance you need today.,1
283, Commander I trust you are doing well today? I look forward to giving you any assistance you need today.,1
284, How are you and your soldiers faring today? I look forward to giving you any assistance you need today.,1
285, Captain Wang How are you and your soldiers faring today? I look forward to giving you any assistance you need today.,1
286, Captain  How are you and your soldiers faring today? I look forward to giving you any assistance you need today.,1
287, Commander How are you and your soldiers faring today? I look forward to giving you any assistance you need today.,1
288, How was your trip? I look forward to giving you any assistance you need today.,1
289, Captain Wang How was your trip? I look forward to giving you any assistance you need today.,1
290, Captain  How was your trip? I look forward to giving you any assistance you need today.,1
291, Commander How was your trip? I look forward to giving you any assistance you need today.,1
292, I hope you are well. I look forward to giving you any assistance you need today.,1
293, Captain Wang I hope you are well. I look forward to giving you any assistance you need today.,1
294, Captain  I hope you are well. I look forward to giving you any assistance you need today.,1
295, Commander I hope you are well. I look forward to giving you any assistance you need today.,1
296, how are you feeling today? I look forward to giving you any assistance you need today.,1
297, Captain Wang how are you feeling today? I look forward to giving you any assistance you need today.,1
298, Captain  how are you feeling today? I look forward to giving you any assistance you need today.,1
299, Commander how are you feeling today? I look forward to giving you any assistance you need today.,1
300, How have you been? I look forward to giving you any assistance you need today.,1
301, Captain Wang How have you been? I look forward to giving you any assistance you need today.,1
302, Captain  How have you been? I look forward to giving you any assistance you need today.,1
303, Commander How have you been? I look forward to giving you any assistance you need today.,1
304, I hope all is well with your company. I look forward to giving you any assistance you need today.,1
305, Captain Wang I hope all is well with your company. I look forward to giving you any assistance you need today.,1
306, Captain  I hope all is well with your company. I look forward to giving you any assistance you need today.,1
307, Commander I hope all is well with your company. I look forward to giving you any assistance you need today.,1
308, Is everything alright? I look forward to giving you any assistance you need today.,1
309, Captain Wang Is everything alright? I look forward to giving you any assistance you need today.,1
310, Captain  Is everything alright? I look forward to giving you any assistance you need today.,1
311, Commander Is everything alright? I look forward to giving you any assistance you need today.,1
312, How was your travel to get here? I look forward to giving you any assistance you need today.,1
313, Captain Wang How was your travel to get here? I look forward to giving you any assistance you need today.,1
314, Captain  How was your travel to get here? I look forward to giving you any assistance you need today.,1
315, Commander How was your travel to get here? I look forward to giving you any assistance you need today.,1
316, Is everything going well for you so far? I look forward to giving you any assistance you need today.,1
317, Captain Wang Is everything going well for you so far? I look forward to giving you any assistance you need today.,1
318, Captain  Is everything going well for you so far? I look forward to giving you any assistance you need today.,1
319, Commander Is everything going well for you so far? I look forward to giving you any assistance you need today.,1
320, How are you fairing? I look forward to giving you any assistance you need today.,1
321, Captain Wang How are you fairing? I look forward to giving you any assistance you need today.,1
322, Captain  How are you fairing? I look forward to giving you any assistance you need today.,1
323, Commander How are you fairing? I look forward to giving you any assistance you need today.,1
324, hope you are doing good I look forward to giving you any assistance you need today.,1
325, Captain Wang hope you are doing good I look forward to giving you any assistance you need today.,1
326, Captain  hope you are doing good I look forward to giving you any assistance you need today.,1
327, Commander hope you are doing good I look forward to giving you any assistance you need today.,1
328," How are you fairing this morning, I look forward to giving you any assistance you need today.",1
329," Captain Wang How are you fairing this morning, I look forward to giving you any assistance you need today.",1
330," Captain  How are you fairing this morning, I look forward to giving you any assistance you need today.",1
331," Commander How are you fairing this morning, I look forward to giving you any assistance you need today.",1
332," How are you fairing this morning, I look forward to giving you any assistance you need today.",1
333," Captain Wang How are you fairing this morning, I look forward to giving you any assistance you need today.",1
334," Captain  How are you fairing this morning, I look forward to giving you any assistance you need today.",1
335," Commander How are you fairing this morning, I look forward to giving you any assistance you need today.",1
336, it's always a pleasure to see you and I am delighted we will be working together.,11
337, Captain Wang it's always a pleasure to see you and I am delighted we will be working together.,11
338, Captain  it's always a pleasure to see you and I am delighted we will be working together.,11
339, Commander it's always a pleasure to see you and I am delighted we will be working together.,11
340, How are you doing on this beautiful day? it's always a pleasure to see you and I am delighted we will be working together.,1
341, Captain Wang How are you doing on this beautiful day? it's always a pleasure to see you and I am delighted we will be working together.,1
342, Captain  How are you doing on this beautiful day? it's always a pleasure to see you and I am delighted we will be working together.,1
343, Commander How are you doing on this beautiful day? it's always a pleasure to see you and I am delighted we will be working together.,1
344, How are you doing this evening? it's always a pleasure to see you and I am delighted we will be working together.,1
345, Captain Wang How are you doing this evening? it's always a pleasure to see you and I am delighted we will be working together.,1
346, Captain  How are you doing this evening? it's always a pleasure to see you and I am delighted we will be working together.,1
347, Commander How are you doing this evening? it's always a pleasure to see you and I am delighted we will be working together.,1
348, How are you today? it's always a pleasure to see you and I am delighted we will be working together.,1
349, Captain Wang How are you today? it's always a pleasure to see you and I am delighted we will be working together.,1
350, Captain  How are you today? it's always a pleasure to see you and I am delighted we will be working together.,1
351, Commander How are you today? it's always a pleasure to see you and I am delighted we will be working together.,1
352, How are you doing this fine day? it's always a pleasure to see you and I am delighted we will be working together.,1
353, Captain Wang How are you doing this fine day? it's always a pleasure to see you and I am delighted we will be working together.,1
354, Captain  How are you doing this fine day? it's always a pleasure to see you and I am delighted we will be working together.,1
355, Commander How are you doing this fine day? it's always a pleasure to see you and I am delighted we will be working together.,1
356, How are you? it's always a pleasure to see you and I am delighted we will be working together.,1
357, Captain Wang How are you? it's always a pleasure to see you and I am delighted we will be working together.,1
358, Captain  How are you? it's always a pleasure to see you and I am delighted we will be working together.,1
359, Commander How are you? it's always a pleasure to see you and I am delighted we will be working together.,1
360, How are you doing today sir? it's always a pleasure to see you and I am delighted we will be working together.,1
361, Captain Wang How are you doing today sir? it's always a pleasure to see you and I am delighted we will be working together.,1
362, Captain  How are you doing today sir? it's always a pleasure to see you and I am delighted we will be working together.,1
363, Commander How are you doing today sir? it's always a pleasure to see you and I am delighted we will be working together.,1
364, I trust you are doing well today? it's always a pleasure to see you and I am delighted we will be working together.,1
365, Captain Wang I trust you are doing well today? it's always a pleasure to see you and I am delighted we will be working together.,1
366, Captain  I trust you are doing well today? it's always a pleasure to see you and I am delighted we will be working together.,1
367, Commander I trust you are doing well today? it's always a pleasure to see you and I am delighted we will be working together.,1
368, How are you and your soldiers faring today? it's always a pleasure to see you and I am delighted we will be working together.,1
369, Captain Wang How are you and your soldiers faring today? it's always a pleasure to see you and I am delighted we will be working together.,1
370, Captain  How are you and your soldiers faring today? it's always a pleasure to see you and I am delighted we will be working together.,1
371, Commander How are you and your soldiers faring today? it's always a pleasure to see you and I am delighted we will be working together.,1
372, How was your trip? it's always a pleasure to see you and I am delighted we will be working together.,1
373, Captain Wang How was your trip? it's always a pleasure to see you and I am delighted we will be working together.,1
374, Captain  How was your trip? it's always a pleasure to see you and I am delighted we will be working together.,1
375, Commander How was your trip? it's always a pleasure to see you and I am delighted we will be working together.,1
376, I hope you are well. it's always a pleasure to see you and I am delighted we will be working together.,1
377, Captain Wang I hope you are well. it's always a pleasure to see you and I am delighted we will be working together.,1
378, Captain  I hope you are well. it's always a pleasure to see you and I am delighted we will be working together.,1
379, Commander I hope you are well. it's always a pleasure to see you and I am delighted we will be working together.,1
380, how are you feeling today? it's always a pleasure to see you and I am delighted we will be working together.,1
381, Captain Wang how are you feeling today? it's always a pleasure to see you and I am delighted we will be working together.,1
382, Captain  how are you feeling today? it's always a pleasure to see you and I am delighted we will be working together.,1
383, Commander how are you feeling today? it's always a pleasure to see you and I am delighted we will be working together.,1
384, How have you been? it's always a pleasure to see you and I am delighted we will be working together.,1
385, Captain Wang How have you been? it's always a pleasure to see you and I am delighted we will be working together.,1
386, Captain  How have you been? it's always a pleasure to see you and I am delighted we will be working together.,1
387, Commander How have you been? it's always a pleasure to see you and I am delighted we will be working together.,1
388, I hope all is well with your company. it's always a pleasure to see you and I am delighted we will be working together.,1
389, Captain Wang I hope all is well with your company. it's always a pleasure to see you and I am delighted we will be working together.,1
390, Captain  I hope all is well with your company. it's always a pleasure to see you and I am delighted we will be working together.,1
391, Commander I hope all is well with your company. it's always a pleasure to see you and I am delighted we will be working together.,1
392, Is everything alright? it's always a pleasure to see you and I am delighted we will be working together.,1
393, Captain Wang Is everything alright? it's always a pleasure to see you and I am delighted we will be working together.,1
394, Captain  Is everything alright? it's always a pleasure to see you and I am delighted we will be working together.,1
395, Commander Is everything alright? it's always a pleasure to see you and I am delighted we will be working together.,1
396, How was your travel to get here? it's always a pleasure to see you and I am delighted we will be working together.,1
397, Captain Wang How was your travel to get here? it's always a pleasure to see you and I am delighted we will be working together.,1
398, Captain  How was your travel to get here? it's always a pleasure to see you and I am delighted we will be working together.,1
399, Commander How was your travel to get here? it's always a pleasure to see you and I am delighted we will be working together.,1
400, Is everything going well for you so far? it's always a pleasure to see you and I am delighted we will be working together.,1
401, Captain Wang Is everything going well for you so far? it's always a pleasure to see you and I am delighted we will be working together.,1
402, Captain  Is everything going well for you so far? it's always a pleasure to see you and I am delighted we will be working together.,1
403, Commander Is everything going well for you so far? it's always a pleasure to see you and I am delighted we will be working together.,1
404, How are you fairing? it's always a pleasure to see you and I am delighted we will be working together.,1
405, Captain Wang How are you fairing? it's always a pleasure to see you and I am delighted we will be working together.,1
406, Captain  How are you fairing? it's always a pleasure to see you and I am delighted we will be working together.,1
407, Commander How are you fairing? it's always a pleasure to see you and I am delighted we will be working together.,1
408, hope you are doing good it's always a pleasure to see you and I am delighted we will be working together.,1
409, Captain Wang hope you are doing good it's always a pleasure to see you and I am delighted we will be working together.,1
410, Captain  hope you are doing good it's always a pleasure to see you and I am delighted we will be working together.,1
411, Commander hope you are doing good it's always a pleasure to see you and I am delighted we will be working together.,1
412," How are you fairing this morning, it's always a pleasure to see you and I am delighted we will be working together.",1
413," Captain Wang How are you fairing this morning, it's always a pleasure to see you and I am delighted we will be working together.",1
414," Captain  How are you fairing this morning, it's always a pleasure to see you and I am delighted we will be working together.",1
415," Commander How are you fairing this morning, it's always a pleasure to see you and I am delighted we will be working together.",1
416," How are you fairing this morning, it's always a pleasure to see you and I am delighted we will be working together.",1
417," Captain Wang How are you fairing this morning, it's always a pleasure to see you and I am delighted we will be working together.",1
418," Captain  How are you fairing this morning, it's always a pleasure to see you and I am delighted we will be working together.",1
419," Commander How are you fairing this morning, it's always a pleasure to see you and I am delighted we will be working together.",1
420," I look forward to working with you, sir.",11
421," Captain Wang I look forward to working with you, sir.",11
422," Captain  I look forward to working with you, sir.",11
423," Commander I look forward to working with you, sir.",11
424," How are you doing on this beautiful day? I look forward to working with you, sir.",1
425," Captain Wang How are you doing on this beautiful day? I look forward to working with you, sir.",1
426," Captain  How are you doing on this beautiful day? I look forward to working with you, sir.",1
427," Commander How are you doing on this beautiful day? I look forward to working with you, sir.",1
428," How are you doing this evening? I look forward to working with you, sir.",1
429," Captain Wang How are you doing this evening? I look forward to working with you, sir.",1
430," Captain  How are you doing this evening? I look forward to working with you, sir.",1
431," Commander How are you doing this evening? I look forward to working with you, sir.",1
432," How are you today? I look forward to working with you, sir.",1
433," Captain Wang How are you today? I look forward to working with you, sir.",1
434," Captain  How are you today? I look forward to working with you, sir.",1
435," Commander How are you today? I look forward to working with you, sir.",1
436," How are you doing this fine day? I look forward to working with you, sir.",1
437," Captain Wang How are you doing this fine day? I look forward to working with you, sir.",1
438," Captain  How are you doing this fine day? I look forward to working with you, sir.",1
439," Commander How are you doing this fine day? I look forward to working with you, sir.",1
440," How are you? I look forward to working with you, sir.",1
441," Captain Wang How are you? I look forward to working with you, sir.",1
442," Captain  How are you? I look forward to working with you, sir.",1
443," Commander How are you? I look forward to working with you, sir.",1
444," How are you doing today sir? I look forward to working with you, sir.",1
445," Captain Wang How are you doing today sir? I look forward to working with you, sir.",1
446," Captain  How are you doing today sir? I look forward to working with you, sir.",1
447," Commander How are you doing today sir? I look forward to working with you, sir.",1
448," I trust you are doing well today? I look forward to working with you, sir.",1
449," Captain Wang I trust you are doing well today? I look forward to working with you, sir.",1
450," Captain  I trust you are doing well today? I look forward to working with you, sir.",1
451," Commander I trust you are doing well today? I look forward to working with you, sir.",1
452," How are you and your soldiers faring today? I look forward to working with you, sir.",1
453," Captain Wang How are you and your soldiers faring today? I look forward to working with you, sir.",1
454," Captain  How are you and your soldiers faring today? I look forward to working with you, sir.",1
455," Commander How are you and your soldiers faring today? I look forward to working with you, sir.",1
456," How was your trip? I look forward to working with you, sir.",1
457," Captain Wang How was your trip? I look forward to working with you, sir.",1
458," Captain  How was your trip? I look forward to working with you, sir.",1
459," Commander How was your trip? I look forward to working with you, sir.",1
460," I hope you are well. I look forward to working with you, sir.",1
461," Captain Wang I hope you are well. I look forward to working with you, sir.",1
462," Captain  I hope you are well. I look forward to working with you, sir.",1
463," Commander I hope you are well. I look forward to working with you, sir.",1
464," how are you feeling today? I look forward to working with you, sir.",1
465," Captain Wang how are you feeling today? I look forward to working with you, sir.",1
466," Captain  how are you feeling today? I look forward to working with you, sir.",1
467," Commander how are you feeling today? I look forward to working with you, sir.",1
468," How have you been? I look forward to working with you, sir.",1
469," Captain Wang How have you been? I look forward to working with you, sir.",1
470," Captain  How have you been? I look forward to working with you, sir.",1
471," Commander How have you been? I look forward to working with you, sir.",1
472," I hope all is well with your company. I look forward to working with you, sir.",1
473," Captain Wang I hope all is well with your company. I look forward to working with you, sir.",1
474," Captain  I hope all is well with your company. I look forward to working with you, sir.",1
475," Commander I hope all is well with your company. I look forward to working with you, sir.",1
476," Is everything alright? I look forward to working with you, sir.",1
477," Captain Wang Is everything alright? I look forward to working with you, sir.",1
478," Captain  Is everything alright? I look forward to working with you, sir.",1
479," Commander Is everything alright? I look forward to working with you, sir.",1
480," How was your travel to get here? I look forward to working with you, sir.",1
481," Captain Wang How was your travel to get here? I look forward to working with you, sir.",1
482," Captain  How was your travel to get here? I look forward to working with you, sir.",1
483," Commander How was your travel to get here? I look forward to working with you, sir.",1
484," Is everything going well for you so far? I look forward to working with you, sir.",1
485," Captain Wang Is everything going well for you so far? I look forward to working with you, sir.",1
486," Captain  Is everything going well for you so far? I look forward to working with you, sir.",1
487," Commander Is everything going well for you so far? I look forward to working with you, sir.",1
488," How are you fairing? I look forward to working with you, sir.",1
489," Captain Wang How are you fairing? I look forward to working with you, sir.",1
490," Captain  How are you fairing? I look forward to working with you, sir.",1
491," Commander How are you fairing? I look forward to working with you, sir.",1
492," hope you are doing good I look forward to working with you, sir.",1
