,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
10,The plan was to use one large aid station with American medics running it. How is this way better?,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.9208317399024963,0.004166753031313419,0.004166753031313419
11,It won't take long.,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500082142651081,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.7624984979629517,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357
12,Why does it have to be in private? We don't have a ton of time. ,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.7624985575675964,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791
13,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.007142872549593449,0.007142872549593449,0.007142872549593449,0.007142872549593449,0.8642854690551758,0.007142872549593449,0.007142872549593449,0.007142872549593449,0.007142872549593449,0.007142872549593449,0.007142872549593449,0.007142872549593449,0.007142872549593449,0.007142872549593449,0.007142872549593449,0.007142872549593449,0.007142872549593449,0.007142872549593449,0.007142872549593449,0.007142872549593449
14,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.00454547256231308,0.00454547256231308,0.00454547256231308,0.00454547256231308,0.00454547256231308,0.00454547256231308,0.00454547256231308,0.00454547256231308,0.00454547256231308,0.00454547256231308,0.00454547256231308,0.9136360287666321,0.00454547256231308,0.00454547256231308,0.00454547256231308,0.00454547256231308,0.00454547256231308,0.00454547256231308,0.00454547256231308,0.00454547256231308
15,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.002777795074507594,0.002777795074507594,0.002777795074507594,0.42446058988571167,0.002777795074507594,0.002777795074507594,0.5255391597747803,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594
16,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.005000040400773287,0.005000040866434574,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.9049992561340332,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287
17,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.006250106729567051,0.006250106729567051,0.8812479972839355,0.006250106729567051,0.006250106729567051,0.006250106729567051,0.006250106729567051,0.006250107195228338,0.006250106729567051,0.006250106729567051,0.006250106729567051,0.006250106729567051,0.006250106729567051,0.006250106729567051,0.006250106729567051,0.006250106729567051,0.006250106729567051,0.006250106729567051,0.006250106729567051,0.006250106729567051
18,"No, he is not here. I am taking his place.",0.01666676066815853,0.01666676066815853,0.6833315491676331,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853
19,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.008333397097885609,0.008333397097885609,0.008333397097885609,0.008333397097885609,0.008333397097885609,0.008333397097885609,0.841665506362915,0.008333397097885609,0.008333397097885609,0.008333397097885609,0.008333397097885609,0.008333397097885609,0.008333397097885609,0.008333397097885609,0.008333397097885609,0.008333397097885609,0.008333397097885609,0.008333397097885609,0.008333397097885609,0.008333397097885609
20,The plan was to use one large aid station with American medics running it. How is this way better?,0.004166752565652132,0.004166752565652132,0.004166752565652132,0.004166752565652132,0.004166752565652132,0.004166752565652132,0.004166752565652132,0.004166752565652132,0.004166752565652132,0.004166752565652132,0.004166753031313419,0.004166752565652132,0.004166752565652132,0.004166752565652132,0.004166752565652132,0.004166752565652132,0.004166752565652132,0.9208317399024963,0.004166752565652132,0.004166752565652132
21,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.6699851751327515,0.0027777948416769505,0.0027777948416769505,0.2800145447254181,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505
22,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.9049992561340332,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287,0.005000040400773287
23,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.894443929195404,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453
24,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.002777795074507594,0.002777795074507594,0.002777795074507594,0.08300214260816574,0.002777795074507594,0.002777795074507594,0.8669975996017456,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594,0.002777795074507594
25,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.0062501085922122,0.0062501085922122,0.0062501090578734875,0.0062501085922122,0.0062501085922122,0.0062501085922122,0.0062501085922122,0.8812479376792908,0.0062501085922122,0.0062501085922122,0.0062501085922122,0.0062501085922122,0.0062501085922122,0.0062501085922122,0.0062501085922122,0.0062501085922122,0.0062501085922122,0.0062501085922122,0.0062501085922122,0.0062501085922122
26,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.8812494874000549,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.0062500289641320705,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783
27,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.006250034552067518,0.006250034552067518,0.006250034552067518,0.006250034552067518,0.006250034552067518,0.006250034552067518,0.006250034552067518,0.006250034552067518,0.006250034552067518,0.006250034552067518,0.006250034552067518,0.006250034552067518,0.006250034552067518,0.006250034552067518,0.006250034552067518,0.8812493681907654,0.006250034552067518,0.006250034552067518,0.006250034552067518,0.006250034552067518
28,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.0035714406985789537,0.0035714406985789537,0.0035714406985789537,0.0035714406985789537,0.0035714406985789537,0.9321426153182983,0.0035714406985789537,0.0035714406985789537,0.0035714406985789537,0.0035714406985789537,0.0035714406985789537,0.0035714406985789537,0.0035714406985789537,0.0035714406985789537,0.0035714406985789537,0.0035714406985789537,0.0035714406985789537,0.0035714406985789537,0.0035714406985789537,0.0035714406985789537
29,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.9269227981567383,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.0038461703807115555,0.003846169915050268,0.003846169915050268,0.003846169915050268
30,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.8812494874000549,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783,0.006250028498470783
31,I’d rather not say.,0.016666745766997337,0.6833318471908569,0.016666745766997337,0.016666745766997337,0.016666745766997337,0.016666745766997337,0.016666745766997337,0.016666745766997337,0.016666745766997337,0.016666745766997337,0.016666745766997337,0.016666745766997337,0.016666745766997337,0.016666745766997337,0.016666745766997337,0.016666745766997337,0.016666745766997337,0.016666745766997337,0.016666745766997337,0.016666745766997337
32,It won't take long.,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.7624984979629517,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357
33,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.8944438695907593,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752
34,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.00416670273989439,0.00416670273989439,0.00416670273989439,0.00416670273989439,0.00416670273989439,0.00416670273989439,0.00416670273989439,0.00416670273989439,0.004166703205555677,0.00416670273989439,0.00416670273989439,0.00416670273989439,0.00416670273989439,0.00416670273989439,0.00416670273989439,0.00416670273989439,0.920832633972168,0.00416670273989439,0.00416670273989439,0.00416670273989439
35,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,0.004166700411587954,0.004166700411587954,0.004166700411587954,0.004166700411587954,0.004166700411587954,0.004166700411587954,0.004166700411587954,0.004166700411587954,0.004166700411587954,0.004166700411587954,0.9208326935768127,0.004166700411587954,0.004166700411587954,0.004166700411587954,0.004166700411587954,0.004166700411587954,0.004166700411587954,0.004166700411587954,0.004166700411587954,0.004166700411587954
36,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.9269227981567383,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268,0.003846169915050268
37,"I'd really prefer just to wait until the brief, if that is ok.",0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.8416658043861389,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415
38,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.0038461757358163595,0.003846174804493785,0.003846174804493785,0.9269226789474487,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785
39,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.004166682716459036,0.004166682716459036,0.004166682716459036,0.004166682716459036,0.004166682716459036,0.004166682716459036,0.004166682716459036,0.004166682716459036,0.9208330512046814,0.004166682716459036,0.004166682716459036,0.004166682716459036,0.004166682716459036,0.004166682716459036,0.004166682716459036,0.004166682716459036,0.004166682716459036,0.004166682716459036,0.004166682716459036,0.004166682716459036
40,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.005000027362257242,0.005000027362257242,0.9049994945526123,0.005000027362257242,0.005000027362257242,0.005000027362257242,0.005000027362257242,0.005000027362257242,0.005000027362257242,0.005000027362257242,0.005000027362257242,0.005000027362257242,0.005000027362257242,0.005000027362257242,0.005000027362257242,0.005000027362257242,0.005000027362257242,0.005000027362257242,0.005000027362257242,0.005000027362257242
41,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.9269226789474487,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785,0.003846174804493785
42,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.003846161998808384,0.003846161998808384,0.003846161998808384,0.003846161998808384,0.003846161998808384,0.003846161998808384,0.003846161998808384,0.003846161998808384,0.003846161998808384,0.003846161998808384,0.003846161998808384,0.003846161998808384,0.003846161998808384,0.003846161998808384,0.003846161998808384,0.003846161998808384,0.003846161998808384,0.003846161998808384,0.003846161998808384,0.9269229173660278
43,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.8944438695907593,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464,0.005555587355047464
44,"No, he is not here. I am taking his place.",0.01666676253080368,0.01666676066815853,0.6833315491676331,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853
45,It won't take long.,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.7624984979629517,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357,0.012500079348683357
46,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.894443929195404,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453
47,Why does it have to be in private? We don't have a ton of time. ,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.7624985575675964,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791,0.01250007376074791
48,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.003333365311846137,0.003333365311846137,0.003333365311846137,0.003333365311846137,0.003333365311846137,0.003333365311846137,0.003333365311846137,0.9366660714149475,0.003333365311846137,0.003333365311846137,0.003333365311846137,0.003333365311846137,0.003333365311846137,0.003333365311846137,0.003333365311846137,0.003333365311846137,0.003333365311846137,0.003333365311846137,0.003333365311846137,0.003333365311846137
49,"I'd really prefer just to wait until the brief, if that is ok.",0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.8416658043861389,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415,0.008333382196724415
50,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.0031250284519046545,0.0031250284519046545,0.0031250284519046545,0.0031250284519046545,0.0031250284519046545,0.0031250284519046545,0.0031250284519046545,0.0031250284519046545,0.0031250284519046545,0.940624475479126,0.0031250284519046545,0.0031250284519046545,0.0031250284519046545,0.0031250284519046545,0.0031250284519046545,0.0031250284519046545,0.0031250284519046545,0.0031250284519046545,0.0031250284519046545,0.0031250296160578728
51,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.8944438695907593,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555587820708752,0.005555588286370039,0.005555587820708752
52,"No, he is not here. I am taking his place.",0.016666758805513382,0.016666758805513382,0.6833315491676331,0.016666758805513382,0.016666758805513382,0.016666758805513382,0.016666758805513382,0.016666758805513382,0.016666758805513382,0.016666758805513382,0.016666758805513382,0.016666758805513382,0.016666758805513382,0.016666758805513382,0.016666758805513382,0.016666758805513382,0.016666758805513382,0.016666758805513382,0.016666758805513382,0.016666758805513382
53,The plan was to use one large aid station with American medics running it. How is this way better?,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.004166753031313419,0.9208316802978516,0.004166753031313419,0.004166753031313419
54,"No, he is not here. I am taking his place.",0.01666676066815853,0.01666676066815853,0.6833315491676331,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853,0.01666676066815853
55,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.894443929195404,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453,0.005555584095418453
56,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.0041666822507977486,0.0041666822507977486,0.0041666822507977486,0.0041666822507977486,0.0041666822507977486,0.0041666822507977486,0.0041666822507977486,0.0041666822507977486,0.9208330512046814,0.0041666822507977486,0.0041666822507977486,0.0041666822507977486,0.0041666822507977486,0.0041666822507977486,0.0041666822507977486,0.0041666822507977486,0.0041666822507977486,0.0041666822507977486,0.0041666822507977486,0.0041666822507977486
57,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.008333396166563034,0.008333396166563034,0.008333396166563034,0.008333396166563034,0.008333396166563034,0.008333396166563034,0.841665506362915,0.008333396166563034,0.008333396166563034,0.008333396166563034,0.008333396166563034,0.008333396166563034,0.008333396166563034,0.008333396166563034,0.008333396166563034,0.008333396166563034,0.008333396166563034,0.008333396166563034,0.008333396166563034,0.008333396166563034
58,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.008333350531756878,0.008333350531756878,0.008333350531756878,0.008333350531756878,0.008333350531756878,0.008333350531756878,0.008333350531756878,0.008333350531756878,0.008333350531756878,0.008333350531756878,0.008333350531756878,0.008333350531756878,0.008333350531756878,0.008333350531756878,0.8416664004325867,0.008333350531756878,0.008333350531756878,0.008333350531756878,0.008333350531756878,0.008333350531756878
59,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777953073382378,0.0027777948416769505,0.0027777948416769505,0.9472218751907349,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505
60,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.6356255412101746,0.0027777948416769505,0.0027777948416769505,0.3143741190433502,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505,0.0027777948416769505
61,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,0.004166699945926666,0.004166699945926666,0.004166699945926666,0.004166699945926666,0.004166699945926666,0.004166699945926666,0.004166699945926666,0.004166699945926666,0.004166699945926666,0.004166699945926666,0.9208326935768127,0.004166699945926666,0.004166699945926666,0.004166699945926666,0.004166699945926666,0.004166699945926666,0.004166699945926666,0.004166699945926666,0.004166699945926666,0.004166699945926666
