id,turk_response_text,prompt_type,assignment,identifier,comment
22,Could you please tell me why you want to set up two aid stations?,feedback,358UUM7WRZ3B8ZOTO2KCBHF3ABR7RNb,10b,
23,I don't have anything that I can think of that I want to ask.,feedback,358UUM7WRZ3B8ZOTO2KCBHF3ABR7RNc,10c,
24,Could I speak to you in private once you're done with everybody else?,feedback,358UUM7WRZ3B8ZOTO2KCBHF3ABR7RNd,10d,
25,I have a few questions about the plan. Would you please go over the reasons you propose that we have two stations rather than one?,feedback,35H6S234SA03ZCCQ8L2H22ABNIJ569a,10a,
26,Please help me to understand why you suggest we set up two aid stations.,feedback,35H6S234SA03ZCCQ8L2H22ABNIJ569b,10b,
27,I don't have any further questions at this time.,feedback,35H6S234SA03ZCCQ8L2H22ABNIJ569c,10c,
28,Could we possibly speak privately after you've finished answering the other's questions?,feedback,35H6S234SA03ZCCQ8L2H22ABNIJ569d,10d,
29,"Why are we doing two stations, that is my problem. ",feedback,378XPAWRUCDGY2J85I2N7GG2ON9AI8a,10a,
30,Nicely see why he is doing two aid stations. ,feedback,378XPAWRUCDGY2J85I2N7GG2ON9AI8b,10b,
31,I do not have any questions. ,feedback,378XPAWRUCDGY2J85I2N7GG2ON9AI8c,10c,
32,Can we talk in private once he is done,feedback,378XPAWRUCDGY2J85I2N7GG2ON9AI8d,10d,
33,"There are a few problems that I cannot look passed with out me asking, why are you setting up the aid stations again?",feedback,378XPAWRUCDGY2J85I2N7GG2ONBIAIa,10a,
34,Can you shed some light about your idea to set up the two aid stations?,feedback,378XPAWRUCDGY2J85I2N7GG2ONBIAIb,10b,
35,That will be all of the questions I have for you right now sir.,feedback,378XPAWRUCDGY2J85I2N7GG2ONBIAIc,10c,
36,Perhaps we can speak in private after you are don't sir?,feedback,378XPAWRUCDGY2J85I2N7GG2ONBIAId,10d,
37,"I have several issues with the plan, how come your setting up two stations?",feedback,37FMASSAYCRLHCO0BW2J2R0865ZIBGa,10a,
38,"may I ask you sir, why are you setting up two separate aid stations?",feedback,37FMASSAYCRLHCO0BW2J2R0865ZIBGb,10b,
39,"Nothing further for now, thank you sir. ",feedback,37FMASSAYCRLHCO0BW2J2R0865ZIBGc,10c,
40,Can you speak with me in private after you are done responding to my other questions?,feedback,37FMASSAYCRLHCO0BW2J2R0865ZIBGd,10d,
41,I'm not sold on your plan. Why two aid stations instead of one?,feedback,37KGEN7NJ3QF2SCE7WA468699N4PPFa,10a,
42,I do not see the reason for two aid stations. Can you enlighten me sir?,feedback,37KGEN7NJ3QF2SCE7WA468699N4PPFb,10b,
43,I have no questions for the moment.,feedback,37KGEN7NJ3QF2SCE7WA468699N4PPFc,10c,
44,Can I have a word once you finish up here?,feedback,37KGEN7NJ3QF2SCE7WA468699N4PPFd,10d,
45,I'm not sold on your plan. Why would we need two aid stations?,feedback,37TRT2X24QRHCN86TENJESF8JKOBJLa,10a,
46,Might I enquire as to the reasons for two aid stations?,feedback,37TRT2X24QRHCN86TENJESF8JKOBJLb,10b,
47,I don't have any questions at the moment.,feedback,37TRT2X24QRHCN86TENJESF8JKOBJLc,10c,
48,Can we meet in private when you are done taking questions?,feedback,37TRT2X24QRHCN86TENJESF8JKOBJLd,10d,
49,"there is a problem with this current plan sir, why are we setting up the two aid stations?",feedback,38F71OA9GTWXQCQ71DM7DAYA2CDMFKa,10a,
50,I don't understand why we are setting the aid stations,feedback,38F71OA9GTWXQCQ71DM7DAYA2CDMFKb,10b,
51,I have no questions.,feedback,38F71OA9GTWXQCQ71DM7DAYA2CDMFKc,10c,
52,"May I speak with you privately afterwards, sir?",feedback,38F71OA9GTWXQCQ71DM7DAYA2CDMFKd,10d,
53,"I have a few concerns with the plan.  The first is, why are you setting up two aid stations?",feedback,39DD6S19JPB5J5PULRSV3U9J5F8ZEOa,10a,
54,I was wondering why you are setting up two aid stations?,feedback,39DD6S19JPB5J5PULRSV3U9J5F8ZEOb,10b,
55,I don't have any questions at this time.,feedback,39DD6S19JPB5J5PULRSV3U9J5F8ZEOc,10c,
56,Could we please talk in private once you are done addressing the others' questions?,feedback,39DD6S19JPB5J5PULRSV3U9J5F8ZEOd,10d,
57,"Commander, I have a few questions about your plan. Why do you propose setting up two aid stations?",feedback,39U1BHVTDLR6NV0YQFMHYF45TU03TPa,10a,
58,"I am not sure I understand why you think setting up two aid stations would be best - can you please explain your rationale, sir?",feedback,39U1BHVTDLR6NV0YQFMHYF45TU03TPb,10b,
59,"No, sir, I do not have any questions.",feedback,39U1BHVTDLR6NV0YQFMHYF45TU03TPc,10c,
60,"Once you've answered these questions, sir, I'd like to have some time in private to ask a few questions of my own.",feedback,39U1BHVTDLR6NV0YQFMHYF45TU03TPd,10d,
61,I have some issues with the plan. Why are you setting up two aid stations?,feedback,3B2X28YI3WF5OSTZ9VTU5OA3XE16B7a,10a,
62,Can you please explain why you're setting up two aid stations?,feedback,3B2X28YI3WF5OSTZ9VTU5OA3XE16B7b,10b,
63,I don't have any questions at this time.,feedback,3B2X28YI3WF5OSTZ9VTU5OA3XE16B7c,10c,
64,Can I please talk to you in private when you're done answering people's questions?,feedback,3B2X28YI3WF5OSTZ9VTU5OA3XE16B7d,10d,
65,I have slight issues with the plan. Why are two aid stations being set up?,feedback,3BWI6RSP7G9MZVJO2W0CCAGKVMYE7Ea,10a,
66,Can you please explain to me why two aid stations are being set up?,feedback,3BWI6RSP7G9MZVJO2W0CCAGKVMYE7Eb,10b,
67,I have no further questions right now.,feedback,3BWI6RSP7G9MZVJO2W0CCAGKVMYE7Ec,10c,
68,Could I speak with you privately after you are finished answering the other questions?,feedback,3BWI6RSP7G9MZVJO2W0CCAGKVMYE7Ed,10d,
69,"I have a few issues with the plan that I would like to discuss.  For example, why do you plan to set up two aid stations?",feedback,3CPLWGV3MOZU7KKUAS1FGT1Z44R9NEa,10a,
70,"If you don't mind me asking, why do you believe it is necessary to set up the two aid stations?",feedback,3CPLWGV3MOZU7KKUAS1FGT1Z44R9NEb,10b,
71,I do not have any further questions. ,feedback,3CPLWGV3MOZU7KKUAS1FGT1Z44R9NEc,10c,
72,Can the two of us please speak in private once everyone else's questions have been answered?,feedback,3CPLWGV3MOZU7KKUAS1FGT1Z44R9NEd,10d,
73,"Commander, I have a few problems that I wanted to talk about. Mainly, I am not sure why you are setting up two aid stations instead of one? Thank you!",feedback,3DQQ64TANGL5M19FJIOZY2E52KEWPOa,10a,
74,"Commander, my sincere apologies. But could you please explain why you are setting up two aid stations? ",feedback,3DQQ64TANGL5M19FJIOZY2E52KEWPOb,10b,
75,"Commander, I do not have any questions to ask for now. Thank you!",feedback,3DQQ64TANGL5M19FJIOZY2E52KEWPOc,10c,
76,"Commander, I would really appreciate some private time after you get some free time. I have some questions to ask.",feedback,3DQQ64TANGL5M19FJIOZY2E52KEWPOd,10d,
77,I'm afraid I have a few problems with the plan. Could you tell me why you want to set up two aid stations?,feedback,3DZQRBDBSLF58VNJ1FHROA8JRBKS3Na,10a,
78,Please explain why you believe it's important to set up two aid stations.,feedback,3DZQRBDBSLF58VNJ1FHROA8JRBKS3Nb,10b,
79,I do not have any questions now.,feedback,3DZQRBDBSLF58VNJ1FHROA8JRBKS3Nc,10c,
80,"Could we please talk in private, after you've answered the other's questions?",feedback,3DZQRBDBSLF58VNJ1FHROA8JRBKS3Nd,10d,
81,"Commander, excuse my interruption, but I feel that there are a few problems with the current plan. If you don't mind me asking, why are we setting up two aid stations?",feedback,3F6HPJW4JD09UU89HKDN2P6CRAN2W8a,10a,
82,Would you mind explaining why you have decided to set up two aid stations?,feedback,3F6HPJW4JD09UU89HKDN2P6CRAN2W8b,10b,
83,I currently do no have any questions.,feedback,3F6HPJW4JD09UU89HKDN2P6CRAN2W8c,10c,
84,"Once you are available, would you mind if I can talk to you in private once you are finished answering others questions?",feedback,3F6HPJW4JD09UU89HKDN2P6CRAN2W8d,10d,
85,I don't agree with some of this. Why two aid stations?,feedback,3FTOP5WARFOGS05WVYQUUBJPSGTJ09a,10a,
86,Can you tell me wny you decided to set up two aid stations?,feedback,3FTOP5WARFOGS05WVYQUUBJPSGTJ09b,10b,
87,Well I guess at this moment I have no questions.,feedback,3FTOP5WARFOGS05WVYQUUBJPSGTJ09c,10c,
88,"After you talk to the other people, may I talk with you privately?",feedback,3FTOP5WARFOGS05WVYQUUBJPSGTJ09d,10d,
89,I have a few issues with the plan as it sits.  I need to know why we are setting up two different aid stations.,feedback,3G2UL9A02DEIMGQ9WEHE0MO7EOF76Ra,10a,
90,If you could please explain why you are setting up two aid stations?,feedback,3G2UL9A02DEIMGQ9WEHE0MO7EOF76Rb,10b,
91,I don't have any more questions right now,feedback,3G2UL9A02DEIMGQ9WEHE0MO7EOF76Rc,10c,
92,"When you are done with the others, I need to speak to you privately, just for a moment.",feedback,3G2UL9A02DEIMGQ9WEHE0MO7EOF76Rd,10d,
93,Commander I have a problem with the plan.  May I ask why I am setting up two aid stations? ,feedback,3I33IC7ZWF2CNH56GFHVK09LZRK2AXa,10a,
94,"Sir, why are you setting up two aid stations?",feedback,3I33IC7ZWF2CNH56GFHVK09LZRK2AXb,10b,
95,I do not further questions. ,feedback,3I33IC7ZWF2CNH56GFHVK09LZRK2AXc,10c,
96,May I speak with you after everyone asks their questions?,feedback,3I33IC7ZWF2CNH56GFHVK09LZRK2AXd,10d,
97,I have a couple issues with your plan. Can you please explain why you are setting up two aid stations?,feedback,3I3WADAZ9Q4TOIIU8HOBJ2W28ICO5Ga,10a,
98,Can you please explain to me why you are setting up two aid stations?,feedback,3I3WADAZ9Q4TOIIU8HOBJ2W28ICO5Gb,10b,
99,I have no further questions. ,feedback,3I3WADAZ9Q4TOIIU8HOBJ2W28ICO5Gc,10c,
100,"Once you are finished answering questions, may we please talk in private?",feedback,3I3WADAZ9Q4TOIIU8HOBJ2W28ICO5Gd,10d,
101,There are a few problems I have with that plan. Why do you want two aid stations?,feedback,3IHR8NYAM71TDZQV9CIG3AVEIRD4P8a,10a,
102,Can you please explain to me why you are setting up two aid stations?,feedback,3IHR8NYAM71TDZQV9CIG3AVEIRD4P8b,10b,
103,"Right now, I don't have any questions.",feedback,3IHR8NYAM71TDZQV9CIG3AVEIRD4P8c,10c,
104,Can we speak privately once you are done answering other questions?,feedback,3IHR8NYAM71TDZQV9CIG3AVEIRD4P8d,10d,
105,I have a question about your plan. Why should we set up two aid stations?,feedback,3JRJSWSMQHL4YCI10KXMZT44QKH3E3a,10a,
106,Will you please explant to set up two aid stations?,feedback,3JRJSWSMQHL4YCI10KXMZT44QKH3E3b,10b,
107,"I have no further questions, thank you.",feedback,3JRJSWSMQHL4YCI10KXMZT44QKH3E3c,10c,
108,May I talk to you in private when you have the time?,feedback,3JRJSWSMQHL4YCI10KXMZT44QKH3E3d,10d,
109,"I see a few problems with your plan. First off, why are you setting up two aid stations? What's the rationale behind that?",feedback,3K772S5NP8BJSKP0F5MO3N5E9PZHEOa,10a,
110,Thank you for sharing your alternative plan. Can you share with me why you're setting up two aid stations?,feedback,3K772S5NP8BJSKP0F5MO3N5E9PZHEOb,10b,
111,I have no questions at this time.,feedback,3K772S5NP8BJSKP0F5MO3N5E9PZHEOc,10c,
112,"When you're done speaking with everyone else, I'd like to speak with you in private.",feedback,3K772S5NP8BJSKP0F5MO3N5E9PZHEOd,10d,
113,"I see some issues with this, why do we need two?",feedback,3L4PIM1GQTGUNJKUBBACOUZ0EAXYRCa,10a,
114,"Lieutenant, I'd appreciate it if you can explain why you're setting up two.",feedback,3L4PIM1GQTGUNJKUBBACOUZ0EAXYRCb,10b,
115,I don't have anything to ask.,feedback,3L4PIM1GQTGUNJKUBBACOUZ0EAXYRCc,10c,
116,When this conference is done may I have a word with you?,feedback,3L4PIM1GQTGUNJKUBBACOUZ0EAXYRCd,10d,
117,"I understand, commander, however I have a few concerns about the plan. Why are you wanting to set up two aid stations?",feedback,3MMN5BL1WZ42A0AEHIL5C19DZM43MOa,10a,
118,Please explain your desire to use two aid stations instead of one.,feedback,3MMN5BL1WZ42A0AEHIL5C19DZM43MOb,10b,
119,I think we've covered everything. I don't seem to have anymore questions.,feedback,3MMN5BL1WZ42A0AEHIL5C19DZM43MOc,10c,
120,"When you are through with other's questions, I would like to discuss this further in private.",feedback,3MMN5BL1WZ42A0AEHIL5C19DZM43MOd,10d,
121,"Given the threat we face, I have problems with your proposed plan. Why are we setting up two aid stations?",feedback,3MRNMEIQW56GMAUQAVQ2PXG0QU6LD5a,10a,
122,"Humbly, I ask you why do you see the need for two aid stations?",feedback,3MRNMEIQW56GMAUQAVQ2PXG0QU6LD5b,10b,
123,I don't have questions for you at this time.,feedback,3MRNMEIQW56GMAUQAVQ2PXG0QU6LD5c,10c,
124,Perhaps after you answer the others' questions we can speak in private.,feedback,3MRNMEIQW56GMAUQAVQ2PXG0QU6LD5d,10d,
125,I've come up with a few problems in the plans. Could you explain to me why you are setting up two aid stations?,feedback,3MYYFCXHJ37N0MXW6TST91HMH0T4G7a,10a,
126,Please explain to me why you are setting up two aid stations.,feedback,3MYYFCXHJ37N0MXW6TST91HMH0T4G7b,10b,
127,I do not currently have any questions.,feedback,3MYYFCXHJ37N0MXW6TST91HMH0T4G7c,10c,
128,"When you are done speaking to the others, I would like a moment of your time in private.",feedback,3MYYFCXHJ37N0MXW6TST91HMH0T4G7d,10d,
129,I have issue with the current plan. Please explain why you are setting up two stations? ,feedback,3NOKK93PR1878AYYP4EIIK81H90EEYa,10a,
130,"With all due respect, why you are setting up two stations? ",feedback,3NOKK93PR1878AYYP4EIIK81H90EEYb,10b,
131,Understood. I have no further questions. ,feedback,3NOKK93PR1878AYYP4EIIK81H90EEYc,10c,
132,"After you have finished answering everyone else's questions, could we please speak privately?",feedback,3NOKK93PR1878AYYP4EIIK81H90EEYd,10d,
133,I have some issues with the plan. Why do we need two aid stations?,feedback,3OE22WJIGIODU9LPOVONGJJIM0HUQ6a,10a,
134,"Please explain to me why you are setting up two aid stations, if you don't mind.",feedback,3OE22WJIGIODU9LPOVONGJJIM0HUQ6b,10b,
135,I don't have any more questions now.,feedback,3OE22WJIGIODU9LPOVONGJJIM0HUQ6c,10c,
136,Can we speak in private when you are done with everyone else's questions?,feedback,3OE22WJIGIODU9LPOVONGJJIM0HUQ6d,10d,
137,I'm don't understand the purpose of setting up two aid stations. Please elaborate.,feedback,3OHYZ19UGC5QUOUB3DFSRDCO0WFAOAa,10a,
138,Please tell me what is the purpose of setting up two aid stations.,feedback,3OHYZ19UGC5QUOUB3DFSRDCO0WFAOAb,10b,
139,"Thank-you, I don't have any questions now.",feedback,3OHYZ19UGC5QUOUB3DFSRDCO0WFAOAc,10c,
140,"When you have a moment afterwards, could I please talk to you in private?",feedback,3OHYZ19UGC5QUOUB3DFSRDCO0WFAOAd,10d,
141,I have a few problems with the plan.  I don't understand why you are setting up two aid stations,feedback,3PH3VY7DJLXZ05BL6RM1P0GJCJLZWCa,10a,
142,Will you please explain to me your thoughts on this matter?,feedback,3PH3VY7DJLXZ05BL6RM1P0GJCJLZWCb,10b,
143,As of now I don't have any questions.,feedback,3PH3VY7DJLXZ05BL6RM1P0GJCJLZWCc,10c,
144,"After you have answered my questions, may I speak with you in private?",feedback,3PH3VY7DJLXZ05BL6RM1P0GJCJLZWCd,10d,
145,I have a few discrepancies with the plan. Why are you setting up two stations?,feedback,3PJUZCGDJ6G94DXQ4QCWYWB4F9M89Ja,10a,
146,"Please, I must know why you are setting up two aid stations?",feedback,3PJUZCGDJ6G94DXQ4QCWYWB4F9M89Jb,10b,
147,I do not have any questions at the moment.,feedback,3PJUZCGDJ6G94DXQ4QCWYWB4F9M89Jc,10c,
148,I would like to speak with you privately when you are finished answering questions.,feedback,3PJUZCGDJ6G94DXQ4QCWYWB4F9M89Jd,10d,
149,"Commander, I know there has been some confusion over the original plan, however the original plan is still the best way to execute the aid stations. There are problems with setting up two aid stations, especially in the division of resources, why are we setting up two aid stations now?",feedback,3PMBY0YE273BGGN3L2S10I7N50B9CUa,10a,
150,"I understand you believe this is the best way to fix the mixup, however setting up one aid station is the most beneficial for the refugees to get the aid they need. Why are we setting up two aid stations now?",feedback,3PMBY0YE273BGGN3L2S10I7N50B9CUb,10b,
151,I don't have any more questions about your plan.,feedback,3PMBY0YE273BGGN3L2S10I7N50B9CUc,10c,
152,"Commander, may we speak in private. This is an incredibly important decision to make and I think we need to discuss it more.",feedback,3PMBY0YE273BGGN3L2S10I7N50B9CUd,10d,
153,I'm concerned about a few points of the plan. Why do we need to spread out our men for two aid stations?,feedback,3PS7W85Z8Z2S2XPE7ONRPS7RTMBT9Xa,10a,
154,"I still don't understand why there are two aid stations, can you explain that please?",feedback,3PS7W85Z8Z2S2XPE7ONRPS7RTMBT9Xb,10b,
155,"I understand, I don't have any questions at the moment. ",feedback,3PS7W85Z8Z2S2XPE7ONRPS7RTMBT9Xc,10c,
156,"Sir, can I discuss the alternative in private once the other's are done asking questions.",feedback,3PS7W85Z8Z2S2XPE7ONRPS7RTMBT9Xd,10d,
157,I'm not quite sure why you're setting up two aid stations. Do you have extra information that I'm missing?,feedback,3Q5ZZ9ZEVOFQ3QVE10ZFMG62TDA85Za,10a,
158,Would you mind sharing why your plan includes two aid stations?,feedback,3Q5ZZ9ZEVOFQ3QVE10ZFMG62TDA85Zb,10b,
159,"Ok, I'm clear on the plan now.",feedback,3Q5ZZ9ZEVOFQ3QVE10ZFMG62TDA85Zc,10c,
160,When you have a minute I would like to discuss some things just between the two of us.,feedback,3Q5ZZ9ZEVOFQ3QVE10ZFMG62TDA85Zd,10d,
161,"I have an issues with this, why are we putting up two aid stations?",feedback,3RSDURM96AM5EFFPP5QCPN0HZL9YE1a,10a,
162,Can you please tell me why you are setting up two aid stations?,feedback,3RSDURM96AM5EFFPP5QCPN0HZL9YE1b,10b,
163,I'm good. No questions.,feedback,3RSDURM96AM5EFFPP5QCPN0HZL9YE1c,10c,
164,I need to speak to you in private after you're done talking to them,feedback,3RSDURM96AM5EFFPP5QCPN0HZL9YE1d,10d,
165,"I have a few issues with this plan, for example, why are you setting up two aid stations?",feedback,3SNVL38CI4SVXC6UPZJQQRL3GUNKCZa,10a,
166,"Could you please explain why two aid stations are being set up, just so I understand the decision?",feedback,3SNVL38CI4SVXC6UPZJQQRL3GUNKCZb,10b,
167,I don't have any questions that I can think of right now.,feedback,3SNVL38CI4SVXC6UPZJQQRL3GUNKCZc,10c,
168,After you are done answering everyone else's questions can we speak privately?,feedback,3SNVL38CI4SVXC6UPZJQQRL3GUNKCZd,10d,
169,I have some issues with the plan I need to discuss with you. I don't understand why we are setting up two aid stations?,feedback,3TE3O8573084MYRNIQ3HFQYVZV52R2a,10a,
170,Can you please tell me why you're setting up two aid stations?,feedback,3TE3O8573084MYRNIQ3HFQYVZV52R2b,10b,
171,I don't have any questions for you right now.,feedback,3TE3O8573084MYRNIQ3HFQYVZV52R2c,10c,
172,Could I please speak to you in private once you are done answering everyone else's questions?,feedback,3TE3O8573084MYRNIQ3HFQYVZV52R2d,10d,
173,I am not confident about the plan. Can you please clarify why you are setting up two stations?,feedback,3TUI152ZZBNXLCURM7E35HELB3PQ18a,10a,
174,Can you please clarify why you are setting up two stations?,feedback,3TUI152ZZBNXLCURM7E35HELB3PQ18b,10b,
175,I don't have further questions right now.,feedback,3TUI152ZZBNXLCURM7E35HELB3PQ18c,10c,
176,Would you mind to talk in private once you are done answering others' questions?,feedback,3TUI152ZZBNXLCURM7E35HELB3PQ18d,10d,
177,"Off the record, whats the purpose of two aid stations. I have reservations of this plan",feedback,3VBEN272MKZ627Z7WUOB74XSVGOGSIa,10a,
178,Can you please explain why there is a necessity for two aid stations,feedback,3VBEN272MKZ627Z7WUOB74XSVGOGSIb,10b,
179,I don't have any concerns at this moment,feedback,3VBEN272MKZ627Z7WUOB74XSVGOGSIc,10c,
180,Let's have a one on one when you finish answering those other concerns.,feedback,3VBEN272MKZ627Z7WUOB74XSVGOGSId,10d,
181,"I have one question commander, you are suggesting two aid stations may I ask why?",feedback,3VW6495TLJ03KKWGP626WQSXHXHYYJa,10a,
182,Is there a reason that i am not aware of to have to aid stations?,feedback,3VW6495TLJ03KKWGP626WQSXHXHYYJb,10b,
183,Ok that explains it and I understand.,feedback,3VW6495TLJ03KKWGP626WQSXHXHYYJc,10c,
184,When this meeting is concluded may I speak to you in private?,feedback,3VW6495TLJ03KKWGP626WQSXHXHYYJd,10d,
185,There is a problem with the plan.   Why are two aid stations required to be set up?,feedback,3WZ36BJEV3GBQQ4B581NGY2HHMATB3a,10a,
186,Explain the necessity for setting up two aid  stations?,feedback,3WZ36BJEV3GBQQ4B581NGY2HHMATB3b,10b,
187,No further question right now.,feedback,3WZ36BJEV3GBQQ4B581NGY2HHMATB3c,10c,
188,Let's talk in private after you are done answering these remaining questions.,feedback,3WZ36BJEV3GBQQ4B581NGY2HHMATB3d,10d,
189,I have issues with this plan.  Why have your soldiers at a different station? ,feedback,3YT88D1N08Y7KCABW68PXOH9AHBK32a,10a,
190,Could you explain the reason for the two stations? ,feedback,3YT88D1N08Y7KCABW68PXOH9AHBK32b,10b,
191,I’ve no further questions. ,feedback,3YT88D1N08Y7KCABW68PXOH9AHBK32c,10c,
192,"Hey soldier, can meet privately and talk after you’re done?",feedback,3YT88D1N08Y7KCABW68PXOH9AHBK32d,10d,
193,Why is setting up two aid stations better? I see a few issues with this plan.,feedback,3Z3ZLGNNSIUTVF869BSMTATI9NYQ3Va,10a,
194,Please tell me why you plan to set up two aid stations.,feedback,3Z3ZLGNNSIUTVF869BSMTATI9NYQ3Vb,10b,
195,I do not have any further questions.,feedback,3Z3ZLGNNSIUTVF869BSMTATI9NYQ3Vc,10c,
196,Once you have finished answering others' questions could we please meet privately?,feedback,3Z3ZLGNNSIUTVF869BSMTATI9NYQ3Vd,10d,
197,I disagree because some of your plans are flawed. For what reason do two aid stations need to be set up?,rewrite,32RIADZISS4QQR6N1TMAYF0PVIJ4SRa,10a,
198,May I have an explanation as to why we are needing to set up two individual aid stations?,rewrite,32RIADZISS4QQR6N1TMAYF0PVIJ4SRb,10b,
199,I am out of questions at this moment.,rewrite,32RIADZISS4QQR6N1TMAYF0PVIJ4SRc,10c,
200,When I have a few questions; may I talk to you in private?,rewrite,32RIADZISS4QQR6N1TMAYF0PVIJ4SRd,10d,
201,My problem with your plan is do we really need to set up two aid stations?,rewrite,34HJIJKLP5W6IJNRVORF92KWUMFV4Pa,10a,
202,What's the explanation behind setting up two individual aid stations?,rewrite,34HJIJKLP5W6IJNRVORF92KWUMFV4Pb,10b,
203,I have no questions at the moment.,rewrite,34HJIJKLP5W6IJNRVORF92KWUMFV4Pc,10c,
204,"Once questions are over, can we talk in private?",rewrite,34HJIJKLP5W6IJNRVORF92KWUMFV4Pd,10d,
205,why are we setting up two aid stations? i do not see the relevance.,rewrite,34YB12FSQYO34CM2CXSPVVYMTYAGMEa,10a,
206,i want to understand why we are setting up two aid stations.,rewrite,34YB12FSQYO34CM2CXSPVVYMTYAGMEb,10b,
207,i understand.,rewrite,34YB12FSQYO34CM2CXSPVVYMTYAGMEc,10c,
208,can i talk to you alone when you are done taking questions?,rewrite,34YB12FSQYO34CM2CXSPVVYMTYAGMEd,10d,
209,There are a few things I'm confused about with your plan. Is it necessary that we set up two aid stations?,rewrite,36H9ULYP62U7P4KMYG9FXI6TOPDFJ8a,10a,
210,Is there any reason for setting up two individual aid stations?,rewrite,36H9ULYP62U7P4KMYG9FXI6TOPDFJ8b,10b,
211,I have no questions at the moment?,rewrite,36H9ULYP62U7P4KMYG9FXI6TOPDFJ8c,10c,
212,Can I have a moment in private after the questions?,rewrite,36H9ULYP62U7P4KMYG9FXI6TOPDFJ8d,10d,
213,"I think your plan is problematic, yes.  For example, why do we need two aid stations?",rewrite,379J5II41OGLEG8Q6Q1MVFYLGD5LE0a,10a,
214,Just please tell me why we need two separate aid stations.,rewrite,379J5II41OGLEG8Q6Q1MVFYLGD5LE0b,10b,
215,There is nothing I need answered at this time.,rewrite,379J5II41OGLEG8Q6Q1MVFYLGD5LE0c,10c,
216,"Once questioning is finished, may I speak with you alone?",rewrite,379J5II41OGLEG8Q6Q1MVFYLGD5LE0d,10d,
217,I'm not sure I understand.  Why are we setting up two aid stations?,rewrite,386PBUZZXFXTPWUIKRCDSVBDLL1LJLa,10a,
218,What is the purpose of having two stations?,rewrite,386PBUZZXFXTPWUIKRCDSVBDLL1LJLb,10b,
219,I'm good for now.,rewrite,386PBUZZXFXTPWUIKRCDSVBDLL1LJLc,10c,
220,Can we talk in private when questions are over?,rewrite,386PBUZZXFXTPWUIKRCDSVBDLL1LJLd,10d,
221,I have a some concerns about your plan. Are two aid stations really necessary?,rewrite,38SKSKU7R1XXULAC29RDGUWD86CLI9a,10a,
222,What is your reasoning for two different aid stations?,rewrite,38SKSKU7R1XXULAC29RDGUWD86CLI9b,10b,
223,I can't think of any questions at this time. ,rewrite,38SKSKU7R1XXULAC29RDGUWD86CLI9c,10c,
224,Could I have a moment to speak with you alone after the questions?,rewrite,38SKSKU7R1XXULAC29RDGUWD86CLI9d,10d,
