"","topic","document"
"27",1,"hi actual want discuss someth hope open convers potenti increas salari"
"28",1,"okay sound great ill fill applic salari increas well get talk advertis project talk that sound interest"
"29",1,"see mayb get salari take care see goe get approv mayb take either increas salari possibl bonus someth"
"30",1,"uh yes actual want discuss someth import regard futur present compani hope open convers potenti increas salari"
"31",1,"thank much thank"
"32",1,"hello wonder moment talk well wonder discuss current status compani hope potenti discuss increas salari"
"33",1,"well wonder discuss current status compani hope potenti discuss increas salari well think think role posit involv compani uh think work busi provid past work continu today um think thing mind deserv increas salari cours understand well think multipl project ive involv uh success ive work three year think show level dedic im will give posit much care uh compani job success weve creat togeth person like greater part think increas involv dedic call increas salari"
"34",1,"yeah well like complet understand also thank take time talk"
"35",1,"hey how’ go hope open convers potenti increas salari"
"36",1,"um okay go fill applic system understand posit one step mine appreci recogn valu put compani can time will refer supervisor realli appreci"
"37",1,"done yet hope approach direct potenti expedit process increas chanc get pay rais"
"38",1,"um moment look offer still like work compani understand provid compens howev still dedic compani want see compani succeed like succeed compani want whatev can help compani moment howev understand valu compani recogn near futur might potenti move moment im like stay compani"
"39",1,"okay will work"
"40",1,"will help exercis"
"41",1,"sir actual just want discuss someth hope convers potenti increas salari"
"42",1,"um think go pitch think deserv pay rais person believ wouldn’t complet understand end decis um im activ look compani im commit compani dont think whether get pay rais will affect level work well commit compani obvious ive past year three year yes love abl stay compani primarili tri"
"43",1,"thank much take time listen will make sure go process potenti pay rais"
"44",1,"thank meet know time valuabl think i’ll leav think youv good boss reason doubt give anyth less feel appropri look think someth ive alway told want someth go straight person talk"
"45",1,"that good question two day convers"
"46",1,"yes think give word your go tri definit see take littl respons"
"47",1,"well just consid sinc your boss know author give pay rais"
"48",1,"problem sir just came say want talk potenti get pay rais im realli grate abl work past three year excel boss think ive display lot leadership good work ethic thing havent realli assign think base realli use pay rais"
"49",1,"case think speak approv behalf"
"50",1,"okay els compet think competit pay rais said know work realli hard know recommend think go long way upper manag"
"51",1,"don’t see thank sir mr thank"
"52",1,"i’m good want talk overlook compani believ mistreat deserv rais"
"53",1,"recreat budget next year appreci keep thought mind"
"54",1,"futur higher manageri role will abl success control employe divis compani hope bring better outlook futur"
"55",1,"will alreadi go beyond duti lot work requir"
"56",1,"good morn noth much sir um just think want talk just discuss someth realli simpl want open convers potenti increas salari"
"57",1,"like said can ask almost anyon offic alway work hard reason appli rais theyv never complet approv that want talk specif obvious i’v work close seen grow year see reason oh mean specif compani got im employ month kind award us see get good work done expand busi place think ive work three full year now gone beyond hope abl get fifteen twenti percent rais"
"58",1,"there problem just want talk idea potenti get rais"
"59",1,"um recent im look elsewher right now like stay compani um realli like pay rais order abl"
"60",1,"sound good"
"61",1,"actual want discuss someth hope open convers potenti increas salari"
"62",1,"actual want discuss someth hope open convers potenti increas salari"
"63",1,"think interact better face face thought talk um get rais like can improv workplac like just want like um like construct feedback"
"64",1,"thank"
"65",1,"well"
"66",1,"yeah just want see ran just want talk group project give thought"
"67",1,"sir actual want discuss someth hope open convers potenti increas salari"
"68",1,"sir actual want discuss someth hope open convers potenti increas salari past three year felt like ive kind gotten stock littl bit compani despit mean ive won coupl employe month award highest product rate offic last year fill higher manag numer time realli feel like deserv rais"
"69",1,"understand sir opinion anyth work improv stand potenti help help get hump total get mean enjoy work im go leav"
"70",1,"absolut thank listen appreci"
"71",1,"um exact want discuss salari posit job recent show lot ive help compani lot uh won lot employe award highest product rate offic last year thought deserv mayb increas salari person just believ deserv also come job expect expect achiev higher salari within coupl year hasn’t shown yet"
"72",1,"um go higher up discuss way contact higherup discuss achiev accomplish show ive achiev believ enough earn higher salari"
"73",1,"can just let know there progress situat"
"74",1,"ok thank much"
"75",1,"ma’ actual want discuss someth hope open convers potenti increas salari"
"76",1,"yeah understand think previous work experi can back think get higher salari"
"77",1,"okay way reduc time coupl month say perhap one two month"
"78",1,"well past three year sinc ive salari remain stagnant think get salari increas may consid option"
"79",1,"thank time"
"80",1,"actual want talk someth hope open convers potenti increas salari"
"81",1,"actual want talk someth hope open convers potenti increas salari"
"82",1,"oh hi hope talk someth just want open convers potenti increas salari"
"83",1,"yeah absolut yeah think that alway someth i’m look opportun prove"
"84",1,"sir actual want discuss someth hope open convers potenti increas salari"
"85",1,"well thank help appreci support get approv option can reappli someth els essenti get rais"
"86",1,"yes yeah receiv offer compani want uh keep honor compani ask pay rais consid option uh yes current offer higher salari will talk offer"
"87",1,"um just want talk current status um think hope convers potenti salari"
"88",1,"perhap i’m pretti dedic compani i’v work hard like stay compani"
"89",1,"ma’ actual want discuss someth hope open convers potenti rais salari"
"90",1,"ma’ actual want discuss someth hope open convers potenti rais salari"
"91",1,"ma’ actual want discuss someth hope open convers potenti rais salari"
"92",1,"just wonder discuss get pay rais havent mention long time sinc compani long just rise compani thought time famili expens rise make much thought opportun time request pay rais"
"93",1,"thought ideal person talk just boss charg pay roll everyth"
"94",1,"accord award recent past year ive employe month sever time i’v highest product rate offic last year i’v also take task weren’t necessarili assign base credenti thought deserv pay rais came intent work way recent posit stagnant mani opportun grow within compani i’m say rise ladder anyth like small pay rais great will don’t mind anyth long can like possibl get pay rais help compani much can"
"95",1,"mayb compens instead get rais can vacat day compens vacat day it’ necessarili rais it’ like paid expens trip"
"96",1,"actual want discuss hope convers potenti increas salari"
"97",1,"yeah whatev work around schedul"
"98",1,"might start look anoth job point"
"99",1,"thank say thank time"
"100",2,"hello sir uh there problem want discuss someth go open convers potenti increas salari ive done lot thing compani i’v lead mani project brought lot busi compani taken lot extra work assign can show work ive past coupl month believ impress"
"101",2,"i’v done lot good thing compani lead mani project brought lot busi compani take lot extra work assign well like ive reiter earlier brought lot busi compani take lot extra project reason believ elig higher pay rais see ive receiv numer time play month high product rate even appli numer time higher manag"
"102",2,"ask anyon offic includ upper manag work ethic work harder almost anyon youd ask upper manag give rais correct yeah yeah okay abl talk point quarter now whenev conveni know you’r busi lot thing compani talk quarter work deserv pay rais go long way well like ive reiter earlier brought lot busi compani take lot extra project reason believ elig higher pay rais see ive receiv numer time play month high product rate even appli numer time higher manag understand appreci feedback go long way least tri know your busi take minut busi schedul talk higher up realli appreci just put seed mind economi get better mind understand dont need pay rais immedi just appreci sign will ask want give pay rais whenev come benefici complet understand situat"
"103",2,"ive sever year now receiv lot employe month award stood higher up quit time work extrem hard compani just feel salari reflect good work higher posit take amaz perfect content just increas current salari current posit well well mean think past work definit shown said base result work think look back book project work believ par consid rais believ show earn"
"104",2,"yeah exact feel like ive done lot good work compani past year especi three year ive done lot work lead mani project brought lot good busi compani felt like ive taken lot extra work deserv rais"
"105",2,"person believ ive done lot good thing compani lead mani project bring lot busi compani ive taken lot extra work wasnt necessarili assign yes inde um fact feel like ask anyon offic includ upper manag work ethic believ work harder almost anyon arent one final say dont understand need discuss upper manag like said earlier ask anyon offic includ upper manag work ethic think definit back understand understand definit respect just think im ask just think rais salari consid ive work three year ive never problem ive won numer employe month award well earn highest product rate offic last year consid fill higher manag numer time believ current salari doesnt reflect accur im capabl"
"106",2,"feel though ive done lot compani ive led mani project brought lot busi lot work assign feel though amount work ive taken isnt reflect current salari believ get fifteen percent done will help compani"
"107",2,"actual want discuss someth hope open convers potenti increas salari done lot good thing compani i’v led mani project run lot busi compani ive taken lot extra work assign oh can show work think know past coupl month think impress yeah guess thing realli want stay work compani put lot dedic time communiti someth im passion i’m realli passion work that’ shown numer employe month award receiv um know earn highest product rate offic much problem unhappi job fact much dont feel that reflect work im put salari receipt"
"108",2,"yeah guess thing realli want stay work compani put lot dedic time communiti someth im passion i’m realli passion work that’ shown numer employe month award receiv um know earn highest product rate offic much problem unhappi job fact much dont feel that reflect work im put salari receipt"
"109",2,"um well believ done lot help thing compani team led mani project brought lot busi compani taken lot extra work wasnt necessarili part role took initi go beyond ive even fill higher manag numer time given lot exposur someth that higher job think past record speak futur well im hard worker im driven passion passion career also compani compani better know will benefit well alway strive thing will help better team compani career whole well im sure employe done cant speak behalf can show ive work that two fold answer one number can see ive won numer employe month award ive earn highest product rate offic last year like said earlier fill higher manag numer time whatev need that number part stuff can see right away qualit part believ peopl work whether direct manag whether peopl whether co worker can realli see passion time effort ive put compani realli rais incentiv even better grow even success along make compani success well yeah love talk can show work ive past coupl month hope believ impress"
"110",2,"well im sure employe done cant speak behalf can show ive work that two fold answer one number can see ive won numer employe month award ive earn highest product rate offic last year like said earlier fill higher manag numer time whatev need that number part stuff can see right away qualit part believ peopl work whether direct manag whether peopl whether co worker can realli see passion time effort ive put compani realli rais incentiv even better grow even success along make compani success well"
"111",2,"hope open convers potenti increas salari ive won sever employe month award move china accord tri increas posit compani show dedic compani earn highest product rate past year fill higher manag numer time base current salari current job requir believ ive exceed therefor compens work"
"112",2,"thought one eventu charg definit go back upper manag show work ive past coupl month think impress"
"113",2,"right i’v done lot good thing compani ive led mani project brought lot busi compani ive taken lot extra work assign"
"114",2,"ive done lot thing compani i’v lead mani project brought lot busi compani taken lot extra work assign"
"115",2,"can show work ive past coupl month believ will impress believ gone beyond role employe lot peopl can attest think brought lot success compani deserv rais three year yeah contact prefer also put word base work"
"116",2,"yes cours know ive work close past three year sinc move abl give amaz opportun grow develop career like thank much work also lead mani project im bring lot busi compani realli well i’v also taken lot extra work necessari assign just can what best compani"
"117",2,"done lot good thing compani led mani project brought lot busi compani taken lot extra work assign can show work ive past coupl month believ re impress take work extra hour taken role werent necessarili assign tri gone way learn upper manag job like see can guess kind like emul um even like learn believ like great fit role think gone beyond past um believ like strong candid upper level job even higher salari shown work like work ethic product mean like know you’r person final say someon get rais like lower level worker ive seen lot resourc gone wast can better fix budget work close can fix budget think will abl find space budget increas salari like upward mobil compani higher level manag worker think great leader strong speak skill peopl alway respect work ethic alway show rare ever take day will alway compani rain shine"
"118",2,"done lot good thing compani ive led mani project brought lot busi compani taken higher manag role taken lot extra work assign believ im best worker compani ive lot good thing want can ask higher manag can show hard work i’v done past month think will realli impress okay understand just possibl get back upper manag made decis salari increas"
"119",2,"well ive work ive done lot great thing compani ive charg lot project brought lot busi ive taken lot lot extra work wasnt necessarili job understand can show work ive think impress okay sound fair just thought import bring vouch youv seen work done around offic mayb give potenti benefit appli onlin um ill continu work hard ill tri talk leader around offic also vouch communic hr depart tri show work ive done okay part job guess i’d will genuin enjoy work think great thing compani"
"120",2,"um well ive compani long time three year havent receiv pay rais three year um believ done realli good work compani put lot effort think result speak ive won employe month award numer time highest product rate offic last year fill upper manag sever time believ lot good work im deserv rais think colleagu posit ive also longer time experi um think just look know employ record look feedback manag youll see ive done beyond regular worker"
"121",2,"yes done lot good thing compani led mani project brought lot busi compani taken lot extra work assign"
"122",2,"can show work past coupl month believ impress"
"123",2,"ive lot good work compani past year ive led lot project sub higher level manag guy busi someth els brought busi compani think thing deserv better thing uh yeah time think ask anyon offic base fact i’v gotten mani employe month award past deserv increas salari it’ year"
"124",2,"ive done lot good thing compani led mani extra mani project brought lot busi compani ive taken lot extra work assign well can show work ive past coupl month believ theyd pretti impress understand just want honest convers stand compani feel work"
"125",2,"um done lot good thing led mani project brought lot busi compani taken lot o extra work assign fine your go show work ive past coupl month can ask anyon offic includ upper manag work think find work hard good good work ethic"
"126",3,"term money there never need opinion like make progress need make progress otherwis dont believ abl stay compani want progress life want make sure move forward think earn past employe month award repeat work mani peopl around just overal just work hard everi day show just believ work past ive done will show manag talk think will clear show deserv"
"127",3,"um well felt like can show work tell thing ive done end like aren’t one will final say easier come direct also put like good word hr way im cover base thank appreci like hope like hr will see amount like ive done lot good work won employe month like past year like success year hope like said hope put good word talk upper manag mayb make work toward better salari id honest like request talk higher feel like proven worth compani think can show can also talk especi higher up feel like im deserv"
"128",3,"can can explain littl bit"
"129",3,"um cours anyth appreci sinc like said love littl bit uh incent work put compani happen leeway littl bit leeway budget promis will invest compani end spend will work hard can like said earlier number inequ earn back twice three time four time much compani contract"
"130",3,"yeah right well like think passport good indic work today will choos work tomorrow think level commit certain level increas level commit think like see compens without move forward also recogn that reason job im commit posit regardless pay um think look move forward compani profession goal think step need take"
"131",3,"uh know well think um will take addit work load cours prove dedic commit id certain will showcas work ethicand know just uh ask rais blind truli show yeah show indic im worthwhil invest"
"132",3,"thought one eventu charg definit go back upper manag show work ive past coupl month think impress right definit will love go entir process there formal process guess end understand go process evalu think deserv that understand um think go pitch think deserv pay rais person believ wouldn’t complet understand end decis"
"133",3,"just think know fair know somebodi whos go reward hard work think im serv compani well think point just im realli look mayb higher wage someth let recogn work hard just think accolad receiv past year mayb just time move littl bit higher rank"
"134",3,"make total sens that definit someth im interest just mayb come one level higher think it’ definit valu think fill offici form will go far actual go one level higher just talk person"
"135",3,"usual like remain pretti loyal think go explor option come first say want continu work need littl chang that’ stand"
"136",3,"think know approv just come back ask dont want infring job know your connect upper manag id still like pursu much possibl"
"137",3,"yes cours like tri go normal channel well everyth hope even though your just one level weve seen obvious much compani influenc thing like sinc obvious youv seen work kind past year just thought also continu fight expedit process obvious like rest process import feel like ive kind kind led astray nowher kind just like help"
"138",3,"obvious move china come work offic goal get kind continu compani wasnt plan jump one compani anoth want stick us help grow career well use help compani grow best"
"139",3,"yeah cours readi kind anyth cos obvious like expertis peopl thing help bring repres kind like panel show great experi work much learn pretti much anyth need done order help compani let grow"
"140",3,"sure um ive three year ive work ive like work assign feel well done alway realli appreci everyth just think long time valu bring think pay rais appropri time"
"141",3,"didnt yet can write letter that what need um well mani year feel request point usual normal happen doesnt happen might want t dont know direct manag hope youd abl littl influenc mayb tri accomplish rais long time"
"142",3,"i’m well actual behind group project think your caus im fine hope talk group project problem need fix right now group feel like lot work shoulder hope youd abl take work know your probabl realli busi prepar graduat great accomplish task senior expertis like knowledg go realli long way help us finish project felt like havent put lot project will wont abl finish project dont get work done think wont abl graduat dont pass project think need littl help end mayb just like like question keep miss group meet just tri attend group meet like respond messag realli help us see your t can ask help help us back yeah notic your realli busi want chanc abl work project think like great insight lot stuff realli hard tio keep project full team hasnt yeah think that good think still think need put like littl effort like group project just like put littl time like know your busi lot us just take littl time day work project realli help us move along project"
"143",3,"think like four peopl like can brain attack like problem like sophomor like dont much knowledg might input project show us like proper direct go project yeah think like call like via skype just presenc meet think realli help us issu might abl help us like fix your right your like nearbi easi contact can continu work project like littl input throughout meet"
"144",3,"yeah think that pretti good idea can just like check make sure like like your still technic leader professor assign leader like check like look right direct like im take group wrong direct make sure your also stay involv think assign leader role okay still think make final decis end day your leader im just one gave work"
"145",3,"help think just someth kind balanc workload nice just littl bit mean sinc there four us mean nice like twenti five percent split way"
"146",3,"yeah think okay lot us take lot work can kind handl know your busi just mayb meet mayb talk divid task just keep account dont mind shoulder littl bit extra work think your abl come meet mayb least tri work kind stay engag meet great great contribut note may littl bit outsid research think just general contribut like meet realli help yeah great yeah that good connect sound good well just make sure clear task cant make meet that fine can move forward"
"147",3,"that tough question three year im definit go keep work best alway um feel like know mayb go right away like year two coupl year know feel like can earn littl bit bump pay somewher els might take opportun ive got famili understand"
"148",3,"oh um guess just want give head knew lot influenc guess will just appli"
"149",3,"yeah absolut um just tell everyth i’v told think bring work record will speak"
"150",3,"um think will definit continu keep word work think ive keep now definit think bring custom think futur abil realli well higher manag posit get understand vision compani well well abl lead better thing futur"
"151",3,"think that’ fine long also see i’m come think deserv higher salari"
"152",3,"think extent work ive also understand extraordinari reason abl understand real reason"
"153",3,"yeah cours just though let know see opinion first"
